organization_name,organization_type,island,municipality,department_area,website,email_main,phone_main,source_url,source_file,source_type,icp_segment,notes,quality_flags,needs_manual_review,duplicate_possible
Ayuntamiento de Barlovento,ayuntamiento,La Palma,Barlovento,Politicas Sociales,http://www.barlovento.es/,ss.ss@barlovento.es,922186002 Ext. 25 y 24 | 629659740,https://barlovento.es/departamentos/servicios-sociales/,04_outputs/skilland-ia-mujeres/ayuntamientos_contactos_igualdad_social/directorio_ayuntamientos_igualdad_social.csv,official_website,Entidad Publica - Igualdad/Empleo,Merged from 1 contact rows. Unique emails retained: 1.,Unknown,false,false
Ayuntamiento de Betancuria,ayuntamiento,Fuerteventura,Betancuria,Politicas Sociales,http://www.aytobetancuria.org/,ssociales@aytobetancuria.org,Unknown,https://aytobetancuria.org/atencionciudadana/concejalia/37864/,04_outputs/skilland-ia-mujeres/ayuntamientos_contactos_igualdad_social/directorio_ayuntamientos_igualdad_social.csv,official_website,Entidad Publica - Igualdad/Empleo,Merged from 1 contact rows. Unique emails retained: 1.,generic_department_email;missing_phone;review_required_from_source_note;source_confidence_medium,false,false
Ayuntamiento de Breña Baja,ayuntamiento,La Palma,Brena Baja,Igualdad / Politicas Sociales,Unknown,Unknown,610 412 151,https://www.bbaja.es/es/index.php/ayuntamiento/grupo-de-gobierno,04_outputs/skilland-ia-mujeres/ayuntamientos_contactos_igualdad_social/directorio_ayuntamientos_igualdad_social.csv,official_website,Ayuntamiento - Igualdad,Merged from 1 contact rows.,missing_email;source_confidence_medium,true,false
Ayuntamiento de Buenavista del Norte,ayuntamiento,Tenerife,Buenavista del Norte,Igualdad,http://www.buenavistadelnorte.com/,igualdad@buenavistadelnorte.es,922129030,https://www.buenavistadelnorte.es/ayuntamiento/areas-municipales/igualdad/,04_outputs/skilland-ia-mujeres/ayuntamientos_contactos_igualdad_social/directorio_ayuntamientos_igualdad_social.csv,official_website,Ayuntamiento - Igualdad,Merged from 2 contact rows. Unique emails retained: 2. Manual review flagged on 1 contact rows.,generic_department_email;generic_institutional_email;multiple_emails_in_source,true,false
Ayuntamiento de Candelaria,ayuntamiento,Tenerife,Candelaria,Igualdad / Politicas Sociales,http://www.candelaria.es/,mujer2@candelaria.es,922 50 20 53 ext. 1220,https://www.candelaria.es/igualdad/,04_outputs/skilland-ia-mujeres/ayuntamientos_contactos_igualdad_social/directorio_ayuntamientos_igualdad_social.csv,official_website,Ayuntamiento - Igualdad,Merged from 1 contact rows. Unique emails retained: 1.,generic_department_email,false,false
Ayuntamiento de El Paso,ayuntamiento,La Palma,El Paso,Igualdad / Politicas Sociales,http://www.elpaso.es/,serviciossociales@elpaso.es,922485130,https://elpaso.es/concejalias/,04_outputs/skilland-ia-mujeres/ayuntamientos_contactos_igualdad_social/directorio_ayuntamientos_igualdad_social.csv,official_website,Ayuntamiento - Igualdad,Merged from 2 contact rows. Unique emails retained: 2. Manual review flagged on 1 contact rows.,generic_department_email;generic_institutional_email;multiple_emails_in_source,true,false
Ayuntamiento de El Pinar de El Hierro,ayuntamiento,El Hierro,El Pinar de El Hierro,Igualdad,http://www.elpinardeelhierro.com,elpinardeelhierro@aytoelpinar.org,922 558 085 ext 4417,https://elpinardeelhierro.com/ayuntamiento/grupo-de-gobierno/,04_outputs/skilland-ia-mujeres/ayuntamientos_contactos_igualdad_social/directorio_ayuntamientos_igualdad_social.csv,official_website,Ayuntamiento - Igualdad,Merged from 2 contact rows. Unique emails retained: 2.,multiple_emails_in_source,false,false
Ayuntamiento de El Tanque,ayuntamiento,Tenerife,El Tanque,Politicas Sociales,http://www.eltanque.es,serviciossociales@eltanque.es,922 13 67 15 ext. 1101,https://www.eltanque.es/area-administrativa/servicios-sociales/,04_outputs/skilland-ia-mujeres/ayuntamientos_contactos_igualdad_social/directorio_ayuntamientos_igualdad_social.csv,official_website,Entidad Publica - Igualdad/Empleo,Merged from 1 contact rows. Unique emails retained: 1.,generic_department_email;review_required_from_source_note,false,false
Ayuntamiento de Fasnia,ayuntamiento,Tenerife,Fasnia,Igualdad / Politicas Sociales,http://www.ayuntamientodefasnia.es/,serviciossociales.fasnia@gmail.com,922 53 00 28 ext. 1 | 922 53 09 15,https://www.fasnia.com/215-2/,04_outputs/skilland-ia-mujeres/ayuntamientos_contactos_igualdad_social/directorio_ayuntamientos_igualdad_social.csv,official_website,Ayuntamiento - Igualdad,Merged from 2 contact rows. Unique emails retained: 2. Manual review flagged on 1 contact rows.,generic_department_email;generic_institutional_email;multiple_emails_in_source;source_confidence_medium,true,false
Ayuntamiento de Fuencaliente de La Palma,ayuntamiento,La Palma,Fuencaliente,Politicas Sociales / Empleo / Desarrollo Local / Educacion,http://www.fuencalientedelapalma.es/,servicios.sociales@fuencalientedelapalma.es,922 444 003 EXT. 3,https://fuencalientedelapalma.es/2023/06/23/el-ayuntamiento-de-fuencaliente-formaliza-el-reparto-de-areas-entre-sus-concejales/,04_outputs/skilland-ia-mujeres/ayuntamientos_contactos_igualdad_social/directorio_ayuntamientos_igualdad_social.csv,official_website,Ayuntamiento - Empleo,Merged from 1 contact rows. Unique emails retained: 1.,generic_department_email,false,false
Ayuntamiento de Galdar,ayuntamiento,Gran Canaria,Galdar,Igualdad,http://www.galdar.es/,igualdad@galdar.es,928 895 567,https://www.galdar.es/igualdad/,04_outputs/skilland-ia-mujeres/ayuntamientos_contactos_igualdad_social/directorio_ayuntamientos_igualdad_social.csv,official_website,Ayuntamiento - Igualdad,Merged from 2 contact rows. Unique emails retained: 2.,generic_department_email;multiple_emails_in_source,false,false
Ayuntamiento de Garachico,ayuntamiento,Tenerife,Garachico,Igualdad / Politicas Sociales / Educacion,http://www.garachico.es/,alcaldia@garachico.es,922 830 000 ext. 2251,https://www.garachico.es/?team=maria-candelaria-perez-gonzalez-2,04_outputs/skilland-ia-mujeres/ayuntamientos_contactos_igualdad_social/directorio_ayuntamientos_igualdad_social.csv,official_website,Ayuntamiento - Igualdad,Merged from 2 contact rows. Unique emails retained: 2. Manual review flagged on 1 contact rows.,generic_institutional_email;multiple_emails_in_source,true,false
Ayuntamiento de Granadilla de Abona,ayuntamiento,Tenerife,Granadilla de Abona,Igualdad,http://www.granadilladeabona.org,emendoza@granadilladeabona.org,922751270,https://www.granadilladeabona.org/grupo-de-gobierno-actual/,04_outputs/skilland-ia-mujeres/ayuntamientos_contactos_igualdad_social/directorio_ayuntamientos_igualdad_social.csv,official_website,Ayuntamiento - Igualdad,Merged from 2 contact rows. Unique emails retained: 2.,multiple_emails_in_source,false,false
Ayuntamiento de Guia de Isora,ayuntamiento,Tenerife,Guia de Isora,Igualdad / Politicas Sociales / Educacion,http://www.guiadeisora.org/,serviciossociales@guiadeisora.org,922 850 100,https://www.guiadeisora.org/corp/areas-municipales/servicios-sociales/,04_outputs/skilland-ia-mujeres/ayuntamientos_contactos_igualdad_social/directorio_ayuntamientos_igualdad_social.csv,official_website,Ayuntamiento - Igualdad,Merged from 1 contact rows. Unique emails retained: 1.,generic_department_email;review_required_from_source_note;source_confidence_medium,false,false
Ayuntamiento de Guimar,ayuntamiento,Tenerife,Guimar,Igualdad / Politicas Sociales,http://www.guimar.es/,pdperez@guimar.es,922 52 61 00,https://guimar.es/pedro-daniel-perez-rodriguez,04_outputs/skilland-ia-mujeres/ayuntamientos_contactos_igualdad_social/directorio_ayuntamientos_igualdad_social.csv,official_website,Ayuntamiento - Igualdad,Merged from 1 contact rows. Unique emails retained: 1.,Unknown,false,false
Ayuntamiento de Haria,ayuntamiento,Lanzarote,Haria,Igualdad / Politicas Sociales / Participacion Ciudadana,http://www.ayuntamientodeharia.com,serviciossociales@ayuntamientodeharia.com,928 83 60 18,https://www.ayuntamientodeharia.com/haria/bienestar-social-organiza-actividades-municipales-inclusivas-2/,04_outputs/skilland-ia-mujeres/ayuntamientos_contactos_igualdad_social/directorio_ayuntamientos_igualdad_social.csv,official_website,Ayuntamiento - Igualdad,Merged from 2 contact rows. Unique emails retained: 2. Manual review flagged on 1 contact rows.,generic_department_email;generic_institutional_email;multiple_emails_in_source;source_confidence_medium,true,false
Ayuntamiento de Hermigua,ayuntamiento,La Gomera,Hermigua,Politicas Sociales / Participacion Ciudadana / Educacion / Juventud,http://www.hermigua.es/,informacion@villadehermigua.com,+34 922 144 040,http://www.hermigua.es/ayuntamiento/grupo-de-gobierno.html,04_outputs/skilland-ia-mujeres/ayuntamientos_contactos_igualdad_social/directorio_ayuntamientos_igualdad_social.csv,official_website,Entidad Publica - Igualdad/Empleo,Merged from 1 contact rows. Unique emails retained: 1. Manual review flagged on 1 contact rows.,generic_institutional_email;review_required_from_source_note;source_confidence_medium,true,false
Ayuntamiento de Icod de los Vinos,ayuntamiento,Tenerife,Icod de los Vinos,Politicas Sociales,http://www.icoddelosvinos.es/,atencionciudadana@icoddelosvinos.es,922 86 96 00,https://icoddelosvinos.es/ayuntamiento/grupo-de-gobierno/,04_outputs/skilland-ia-mujeres/ayuntamientos_contactos_igualdad_social/directorio_ayuntamientos_igualdad_social.csv,official_website,Entidad Publica - Igualdad/Empleo,Merged from 2 contact rows. Unique emails retained: 2. Manual review flagged on 1 contact rows.,generic_institutional_email;multiple_emails_in_source,true,false
Ayuntamiento de Ingenio,ayuntamiento,Gran Canaria,Ingenio,Igualdad,http://www.ingenio.es/,igualdad@ingenio.es,928 780 076 ext. 2251,https://ingenio.es/igualdad/,04_outputs/skilland-ia-mujeres/ayuntamientos_contactos_igualdad_social/directorio_ayuntamientos_igualdad_social.csv,official_website,Ayuntamiento - Igualdad,Merged from 3 contact rows. Unique emails retained: 3. Manual review flagged on 1 contact rows.,generic_department_email;generic_institutional_email;multiple_emails_in_source,true,false
Ayuntamiento de La Aldea de San Nicolas,ayuntamiento,Gran Canaria,La Aldea de San Nicolas,Igualdad / Politicas Sociales,http://www.laaldeadesannicolas.es/,proigualdad@aytolaaldea.com,928 890 557,https://laaldeasanicolas.es/ayuntamiento/,04_outputs/skilland-ia-mujeres/ayuntamientos_contactos_igualdad_social/directorio_ayuntamientos_igualdad_social.csv,official_website,Ayuntamiento - Igualdad,Merged from 2 contact rows. Unique emails retained: 2.,generic_department_email;multiple_emails_in_source;source_confidence_medium,false,false
Ayuntamiento de La Frontera,ayuntamiento,El Hierro,Frontera,Igualdad / Politicas Sociales / Juventud,http://www.aytofrontera.org/,alcaldia@aytofrontera.org,+34 922 555 999,http://www.aytofrontera.org/ayuntamiento/corporacion-local.html,04_outputs/skilland-ia-mujeres/ayuntamientos_contactos_igualdad_social/directorio_ayuntamientos_igualdad_social.csv,official_website,Ayuntamiento - Igualdad,Merged from 3 contact rows. Unique emails retained: 3. Manual review flagged on 1 contact rows.,generic_institutional_email;multiple_emails_in_source,true,false
Ayuntamiento de La Matanza de Acentejo,ayuntamiento,Tenerife,La Matanza de Acentejo,Politicas Sociales,http://www.matanceros.com,ayuntamiento@matanceros.es,922 577 120 ext. 270,https://www.matanceros.es/bienestar-social/,04_outputs/skilland-ia-mujeres/ayuntamientos_contactos_igualdad_social/directorio_ayuntamientos_igualdad_social.csv,official_website,Entidad Publica - Igualdad/Empleo,Merged from 2 contact rows. Unique emails retained: 2. Manual review flagged on 2 contact rows.,generic_institutional_email;multiple_emails_in_source;review_required_from_source_note;source_confidence_medium;unknown_contact_name,true,false
Ayuntamiento de La Oliva,ayuntamiento,Fuerteventura,La Oliva,Politicas Sociales / Participacion Ciudadana,http://www.laoliva.es/,serviciossociales@laoliva.es,928 861 158 | 928 868 440,https://www.laoliva.es/directorio/joana-perez-carreno/,04_outputs/skilland-ia-mujeres/ayuntamientos_contactos_igualdad_social/directorio_ayuntamientos_igualdad_social.csv,institutional_directory,Entidad Publica - Igualdad/Empleo,Merged from 1 contact rows. Unique emails retained: 1.,generic_department_email,false,false
Ayuntamiento de La Orotava,ayuntamiento,Tenerife,La Orotava,Igualdad,http://www.villadelaorotava.org/,promotora-igualdad@villadelaorotava.org,922 324 444 ext 2208,https://www.laorotava.es/es/areas-municipales/area-de-igualdad,04_outputs/skilland-ia-mujeres/ayuntamientos_contactos_igualdad_social/directorio_ayuntamientos_igualdad_social.csv,official_website,Ayuntamiento - Igualdad,Merged from 1 contact rows. Unique emails retained: 1.,generic_department_email,false,false
Ayuntamiento de La Victoria de Acentejo,ayuntamiento,Tenerife,La Victoria de Acentejo,Igualdad / Politicas Sociales,http://www.lavictoriadeacentejo.es,bienestarsocial@lavictoriadeacentejo.es,922 58 20 02,https://www.lavictoriadeacentejo.es/ayuntamiento-de-la-victoria-acentejo/corporacion-y-concejalias/,04_outputs/skilland-ia-mujeres/ayuntamientos_contactos_igualdad_social/directorio_ayuntamientos_igualdad_social.csv,official_website,Ayuntamiento - Igualdad,Merged from 2 contact rows. Unique emails retained: 2. Manual review flagged on 1 contact rows.,generic_department_email;generic_institutional_email;multiple_emails_in_source,true,false
Ayuntamiento de Las Palmas de Gran Canaria,ayuntamiento,Gran Canaria,Las Palmas de Gran Canaria,Igualdad / Participacion Ciudadana,http://www.laspalmasgc.es/,igualdad@laspalmasgc.es,928 448 545,https://transparencia.laspalmasgc.es/informacion-institucional/miembros-electos-altos-cargos-directivos/legislatura/1/detalle/1354,04_outputs/skilland-ia-mujeres/ayuntamientos_contactos_igualdad_social/directorio_ayuntamientos_igualdad_social.csv,institutional_directory,Ayuntamiento - Igualdad,Merged from 1 contact rows. Unique emails retained: 1.,generic_department_email;source_confidence_medium,false,false
Ayuntamiento de Los Llanos de Aridane,ayuntamiento,La Palma,Los Llanos de Aridane,Igualdad,http://www.aridane.org/,igualdadlosllanos@aridane.org,620 45 22 77,https://www.aridane.org/city/concejalia-de-igualdad/,04_outputs/skilland-ia-mujeres/ayuntamientos_contactos_igualdad_social/directorio_ayuntamientos_igualdad_social.csv,official_website,Ayuntamiento - Igualdad,Merged from 2 contact rows. Unique emails retained: 2. Manual review flagged on 2 contact rows.,generic_department_email;generic_institutional_email;multiple_emails_in_source;review_required_from_source_note;source_confidence_medium;unknown_contact_name,true,false
Ayuntamiento de Los Realejos,ayuntamiento,Tenerife,Los Realejos,Igualdad / Participacion Ciudadana,http://www.ayto-realejos.es/,Unknown,Unknown,https://losrealejos.es/nueva-integradora-social-entre-el-personal-municipal/,04_outputs/skilland-ia-mujeres/ayuntamientos_contactos_igualdad_social/directorio_ayuntamientos_igualdad_social.csv,official_website,Ayuntamiento - Igualdad,Merged from 1 contact rows. Manual review flagged on 1 contact rows.,missing_email;missing_email_and_phone;missing_phone;review_required_from_source_note;source_confidence_low,true,false
Ayuntamiento de Los Silos,ayuntamiento,Tenerife,Los Silos,Politicas Sociales,http://www.lossilos.es,ayuntamiento@lossilos.es,922840004,https://www.lossilos.es/grupo-de-gobierno/,04_outputs/skilland-ia-mujeres/ayuntamientos_contactos_igualdad_social/directorio_ayuntamientos_igualdad_social.csv,official_website,Entidad Publica - Igualdad/Empleo,Merged from 1 contact rows. Unique emails retained: 1. Manual review flagged on 1 contact rows.,generic_institutional_email;source_confidence_medium,true,false
Ayuntamiento de Mogan,ayuntamiento,Gran Canaria,Mogan,Igualdad,http://www.mogan.es/,molivam@mogan.es,928 158 800,https://transparencia.mogan.es/wp-content/uploads/2025/06/2025_33306_4934750_Identificacion__perfil__meritos_academicos_y_trayectoria_profesional_Corporacion.pdf,04_outputs/skilland-ia-mujeres/ayuntamientos_contactos_igualdad_social/directorio_ayuntamientos_igualdad_social.csv,institutional_directory,Ayuntamiento - Igualdad,Merged from 1 contact rows. Unique emails retained: 1.,Unknown,false,false
Ayuntamiento de Pajara,ayuntamiento,Fuerteventura,Pajara,Politicas Sociales,http://www.pajara.es,servicesociales@pajara.es,628 763 838,https://www.pajara.es/es/ayuntamiento/equipo-gobierno/,04_outputs/skilland-ia-mujeres/ayuntamientos_contactos_igualdad_social/directorio_ayuntamientos_igualdad_social.csv,official_website,Entidad Publica - Igualdad/Empleo,Merged from 2 contact rows. Unique emails retained: 2. Manual review flagged on 1 contact rows.,generic_department_email;generic_institutional_email;multiple_emails_in_source,true,false
Ayuntamiento de Puerto del Rosario,ayuntamiento,Fuerteventura,Puerto del Rosario,Igualdad / Participacion Ciudadana,http://www.puertodelrosario.org,igualdad@puertodelrosario.org,928 850 110 ext 135,https://www.puertodelrosario.org/ayuntamiento/organizacion-politica/tacoremi-gutierrez-gutierrez/,04_outputs/skilland-ia-mujeres/ayuntamientos_contactos_igualdad_social/directorio_ayuntamientos_igualdad_social.csv,official_website,Ayuntamiento - Igualdad,Merged from 2 contact rows. Unique emails retained: 2.,generic_department_email;multiple_emails_in_source,false,false
Ayuntamiento de Puntagorda,ayuntamiento,La Palma,Puntagorda,Igualdad / Politicas Sociales,http://www.puntagorda.es/,serviciossociales@puntagorda.es,922493077 ext. 4/1,https://www.puntagorda.es/ayuntamiento/concejalias/,04_outputs/skilland-ia-mujeres/ayuntamientos_contactos_igualdad_social/directorio_ayuntamientos_igualdad_social.csv,official_website,Ayuntamiento - Igualdad,Merged from 1 contact rows. Unique emails retained: 1.,generic_department_email,false,false
Ayuntamiento de Puntallana,ayuntamiento,La Palma,Puntallana,Igualdad / Politicas Sociales / Participacion Ciudadana,http://www.puntallana.es/,concejalia_serviciossociales@puntallana.es,922430000 ext. 204 o 216 | 722680493,https://puntallana.es/2025/11/i-encuentro-de-networking-con-motivo-del-dia-mundial-de-la-construccion/,04_outputs/skilland-ia-mujeres/ayuntamientos_contactos_igualdad_social/directorio_ayuntamientos_igualdad_social.csv,official_website,Ayuntamiento - Igualdad,Merged from 3 contact rows. Unique emails retained: 3. Manual review flagged on 1 contact rows.,generic_department_email;generic_institutional_email;multiple_emails_in_source,true,false
Ayuntamiento de San Bartolome,ayuntamiento,Lanzarote,San Bartolome,Igualdad / Politicas Sociales,http://www.sanbartolome.es,igualdad@sanbartolome.es,928520128 Ext. 1233,https://www.sanbartolome.es/el-ayuntamiento-de-san-bartolome-organiza-mas-de-un-centenar-de-actividades-para-el-primer-trimestre-de-2025/,04_outputs/skilland-ia-mujeres/ayuntamientos_contactos_igualdad_social/directorio_ayuntamientos_igualdad_social.csv,official_website,Ayuntamiento - Igualdad,Merged from 2 contact rows. Unique emails retained: 2.,generic_department_email;multiple_emails_in_source;review_required_from_source_note,false,false
Ayuntamiento de San Bartolome de Tirajana,ayuntamiento,Gran Canaria,San Bartolome de Tirajana,Igualdad,http://www.maspalomas.com/,igualdad@maspalomas.com,928 723 400 ext. 1562 | 1571,https://www.maspalomas.com/mnuayto-grupogobierno,04_outputs/skilland-ia-mujeres/ayuntamientos_contactos_igualdad_social/directorio_ayuntamientos_igualdad_social.csv,official_website,Ayuntamiento - Igualdad,Merged from 1 contact rows. Unique emails retained: 1.,generic_department_email;source_confidence_medium,false,false
Ayuntamiento de San Cristobal de La Laguna,ayuntamiento,Tenerife,La Laguna,Igualdad / Mujer,http://www.aytolalaguna.org/,Unknown,922 601 100,https://www.aytolalaguna.es/ayuntamiento/corporacion-municipal-y-grupos-politicos/grupos-politicos/psoe/,04_outputs/skilland-ia-mujeres/ayuntamientos_contactos_igualdad_social/directorio_ayuntamientos_igualdad_social.csv,official_website,Ayuntamiento - Igualdad,Merged from 1 contact rows.,missing_email;review_required_from_source_note;source_confidence_medium,true,false
Ayuntamiento de San Miguel de Abona,ayuntamiento,Tenerife,San Miguel de Abona,Politicas Sociales,http://www.sanmigueldeabona.es/,servicios.generales@sanmigueldeabona.org,922 700 000 ext 1233,https://www.sanmigueldeabona.es/areas-municipales-y-concejalias/,04_outputs/skilland-ia-mujeres/ayuntamientos_contactos_igualdad_social/directorio_ayuntamientos_igualdad_social.csv,institutional_directory,Entidad Publica - Igualdad/Empleo,Merged from 1 contact rows. Unique emails retained: 1.,source_confidence_medium,false,false
Ayuntamiento de San Sebastian de La Gomera,ayuntamiento,La Gomera,San Sebastian de La Gomera,Igualdad / Politicas Sociales,http://www.sansebastiangomera.org/,ayuntamiento@sansebastiangomera.org,922 14 10 72,https://sansebastiangomera.org/grupo-gobierno/,04_outputs/skilland-ia-mujeres/ayuntamientos_contactos_igualdad_social/directorio_ayuntamientos_igualdad_social.csv,official_website,Ayuntamiento - Igualdad,Merged from 1 contact rows. Unique emails retained: 1. Manual review flagged on 1 contact rows.,generic_institutional_email;review_required_from_source_note;source_confidence_medium,true,false
Ayuntamiento de Santa Cruz de La Palma,ayuntamiento,La Palma,Santa Cruz de La Palma,Igualdad / Politicas Sociales,http://www.santacruzdelapalma.es/,yessica.perez@santacruzdelapalma.es,Unknown,https://www.santacruzdelapalma.es/web/sclapalma/organigrama,04_outputs/skilland-ia-mujeres/ayuntamientos_contactos_igualdad_social/directorio_ayuntamientos_igualdad_social.csv,institutional_directory,Ayuntamiento - Igualdad,Merged from 1 contact rows. Unique emails retained: 1.,missing_phone,false,false
Ayuntamiento de Santa Cruz de Tenerife,ayuntamiento,Tenerife,Santa Cruz de Tenerife,Politicas Sociales,http://www.santacruzdetenerife.es/,Unknown,900 111 333,https://www.santacruzdetenerife.es/web/servicios-municipales/atencion-social,04_outputs/skilland-ia-mujeres/ayuntamientos_contactos_igualdad_social/directorio_ayuntamientos_igualdad_social.csv,official_website,Entidad Publica - Igualdad/Empleo,Merged from 1 contact rows. Manual review flagged on 1 contact rows.,missing_email;review_required_from_source_note;source_confidence_medium;unknown_contact_name,true,false
Ayuntamiento de Santa Lucia de Tirajana,ayuntamiento,Gran Canaria,Santa Lucia de Tirajana,Igualdad,http://www.santaluciagc.com,igualdad@santaluciagc.com,928 759 746,https://www.santaluciagc.com/areas/bienestar-social/igualdad/,04_outputs/skilland-ia-mujeres/ayuntamientos_contactos_igualdad_social/directorio_ayuntamientos_igualdad_social.csv,official_website,Ayuntamiento - Igualdad,Merged from 3 contact rows. Unique emails retained: 3. Manual review flagged on 1 contact rows.,generic_department_email;generic_institutional_email;multiple_emails_in_source,true,false
Ayuntamiento de Santa Maria de Guia de Gran Canaria,ayuntamiento,Gran Canaria,Santa Maria de Guia,Mujer,Unknown,igualdad@santamariadeguia.es,928 89 73 40,https://santamariadeguia.es/servicios-sociales-2/,04_outputs/skilland-ia-mujeres/ayuntamientos_contactos_igualdad_social/directorio_ayuntamientos_igualdad_social.csv,official_website,Ayuntamiento - Igualdad,Merged from 2 contact rows. Unique emails retained: 2. Manual review flagged on 2 contact rows.,generic_department_email;multiple_emails_in_source;review_required_from_source_note;source_confidence_medium;unknown_contact_name,true,false
