Isla,Municipio,Ayuntamiento,URL oficial ayuntamiento,URL transparencia,Estado busqueda
Gran Canaria,Aguimes,Ayuntamiento de Aguimes,http://www.aguimes.es/,Unknown,pendiente
Gran Canaria,Artenara,Ayuntamiento de Artenara,http://www.artenara.es/,Unknown,pendiente
Gran Canaria,Arucas,Ayuntamiento de Arucas,http://www.arucas.org/,Unknown,pendiente
Gran Canaria,Firgas,Ayuntamiento de Firgas,http://www.firgas.es/,Unknown,pendiente
Gran Canaria,Galdar,Ayuntamiento de Galdar,http://www.galdar.es/,Unknown,pendiente
Gran Canaria,Ingenio,Ayuntamiento de Ingenio,http://www.ingenio.es/,Unknown,pendiente
Gran Canaria,La Aldea de San Nicolas,Ayuntamiento de La Aldea de San Nicolas,http://www.laaldeadesannicolas.es/,Unknown,pendiente
Gran Canaria,Las Palmas de Gran Canaria,Ayuntamiento de Las Palmas de Gran Canaria,http://www.laspalmasgc.es/,Unknown,pendiente
Gran Canaria,Mogan,Ayuntamiento de Mogan,http://www.mogan.es/,Unknown,pendiente
Gran Canaria,Moya,Ayuntamiento de Villa de Moya,http://www.villademoya.es/,Unknown,pendiente
Gran Canaria,San Bartolome de Tirajana,Ayuntamiento de San Bartolome de Tirajana,http://www.maspalomas.com/,Unknown,pendiente
Gran Canaria,Santa Brigida,Ayuntamiento de Santa Brigida,http://www.santabrigida.es/,Unknown,pendiente
Gran Canaria,Santa Lucia de Tirajana,Ayuntamiento de Santa Lucia de Tirajana,http://www.santaluciagc.com,Unknown,pendiente
Gran Canaria,Santa Maria de Guia,Ayuntamiento de Santa Maria de Guia,http://www.santamariadeguia.es/,Unknown,pendiente
Gran Canaria,Tejeda,Ayuntamiento de Tejeda,http://www.tejeda.es/,Unknown,pendiente
Gran Canaria,Telde,Ayuntamiento de Telde,http://www.telde.es/,Unknown,pendiente
Gran Canaria,Teror,Ayuntamiento de Teror,http://www.teror.es/,Unknown,pendiente
Gran Canaria,Valleseco,Ayuntamiento de Valleseco,http://www.valleseco.es/,Unknown,pendiente
Gran Canaria,Valsequillo,Ayuntamiento de Valsequillo de Gran Canaria,http://www.valsequillogc.es/,Unknown,pendiente
Gran Canaria,Vega de San Mateo,Ayuntamiento de Vega de San Mateo,http://www.vegasanmateo.es/,Unknown,pendiente
Tenerife,Adeje,Ayuntamiento de Adeje,http://www.adeje.es/,Unknown,pendiente
Tenerife,Arafo,Ayuntamiento de Arafo,http://www.arafo.es/,Unknown,pendiente
Tenerife,Arico,Ayuntamiento de Arico,http://www.ayuntamientodearico.com,Unknown,pendiente
Tenerife,Arona,Ayuntamiento de Arona,http://www.arona.org/,Unknown,pendiente
Tenerife,Buenavista del Norte,Ayuntamiento de Buenavista del Norte,http://www.buenavistadelnorte.com/,Unknown,pendiente
Tenerife,Candelaria,Ayuntamiento de Candelaria,http://www.candelaria.es/,Unknown,pendiente
Tenerife,El Rosario,Ayuntamiento de El Rosario,http://www.ayuntamientoelrosario.org/,Unknown,pendiente
Tenerife,El Sauzal,Ayuntamiento de El Sauzal,http://www.elsauzal.es/,Unknown,pendiente
Tenerife,El Tanque,Ayuntamiento de El Tanque,http://www.eltanque.es,Unknown,pendiente
Tenerife,Fasnia,Ayuntamiento de Fasnia,http://www.ayuntamientodefasnia.es/,Unknown,pendiente
Tenerife,Garachico,Ayuntamiento de Garachico,http://www.garachico.es/,Unknown,pendiente
Tenerife,Granadilla de Abona,Ayuntamiento de Granadilla de Abona,http://www.granadilladeabona.org,Unknown,pendiente
Tenerife,Guia de Isora,Ayuntamiento de Guia de Isora,http://www.guiadeisora.org/,Unknown,pendiente
Tenerife,Guimar,Ayuntamiento de Guimar,http://www.guimar.es/,Unknown,pendiente
Tenerife,Icod de los Vinos,Ayuntamiento de Icod de los Vinos,http://www.icoddelosvinos.es/,Unknown,pendiente
Tenerife,La Guancha,Ayuntamiento de La Guancha,http://www.laguancha.es,Unknown,pendiente
Tenerife,La Laguna,Ayuntamiento de San Cristobal de La Laguna,http://www.aytolalaguna.org/,Unknown,pendiente
Tenerife,La Matanza de Acentejo,Ayuntamiento de La Matanza de Acentejo,http://www.matanceros.com,Unknown,pendiente
Tenerife,La Orotava,Ayuntamiento de La Orotava,http://www.villadelaorotava.org/,Unknown,pendiente
Tenerife,La Victoria de Acentejo,Ayuntamiento de La Victoria de Acentejo,http://www.lavictoriadeacentejo.es,Unknown,pendiente
Tenerife,Los Realejos,Ayuntamiento de Los Realejos,http://www.ayto-realejos.es/,Unknown,pendiente
Tenerife,Los Silos,Ayuntamiento de Los Silos,http://www.lossilos.es,Unknown,pendiente
Tenerife,Puerto de la Cruz,Ayuntamiento de Puerto de la Cruz,http://www.puertodelacruz.es/,Unknown,pendiente
Tenerife,San Juan de la Rambla,Ayuntamiento de San Juan de la Rambla,http://www.aytosanjuandelarambla.es/,Unknown,pendiente
Tenerife,San Miguel de Abona,Ayuntamiento de San Miguel de Abona,http://www.sanmigueldeabona.es/,Unknown,pendiente
Tenerife,Santa Cruz de Tenerife,Ayuntamiento de Santa Cruz de Tenerife,http://www.santacruzdetenerife.es/,Unknown,pendiente
Tenerife,Santa Ursula,Ayuntamiento de Santa Ursula,http://www.santaursula.es,Unknown,pendiente
Tenerife,Santiago del Teide,Ayuntamiento de Santiago del Teide,http://www.santiagodelteide.org/,Unknown,pendiente
Tenerife,Tacoronte,Ayuntamiento de Tacoronte,http://www.tacoronte.es/,Unknown,pendiente
Tenerife,Tegueste,Ayuntamiento de Tegueste,http://www.tegueste.org/,Unknown,pendiente
Tenerife,Vilaflor de Chasna,Ayuntamiento de Vilaflor de Chasna,http://www.vilaflordechasna.es/,Unknown,pendiente
