company_name,source_lane,source_name,source_url,query_cluster,geography,contact_channel_type,email_or_channel,website_url,services,icp_signals,source_quality_score,contactability_score,dedupe_key,source_query,source_rank,contact_page_url,company_phone,postal_address,role_hint,icp_score,evidence_snippet,scrapling_fetcher,extracted_at_utc,notes
ASESORÍA GONZÁLEZ VEGA SLPU,specialized_directory,AAFC - Despachos Profesionales,https://asesoresfiscalesdecanarias.org/servicios/despachos-profesionales/,sd_colegial_sectorial,ingenio|gran canaria,email,pepa@asesoriagonzalezvega.es,Unknown,"fiscal, contable, laboral",direct_email,95,85,asesoria-gonzalez-vega-slpu|ingenio-gran-canaria|email|pepa-asesoriagonzalezvega-es,"site:org ""asesores fiscales"" Canarias asociacion",49,Unknown,928785113,Unknown,despacho,80,928785113 | PEPA@ASESORIAGONZALEZVEGA.ES,Fetcher,2026-03-07T23:46:09+00:00,aafc_directory_pilot
ASESORIA SANTANA GONZALEZ- MARÍA ELISABETH DÉNIZ VALIDO,specialized_directory,AAFC - Despachos Profesionales,https://asesoresfiscalesdecanarias.org/servicios/despachos-profesionales/,sd_colegial_sectorial,santa lucia de tirajana|gran canaria,email,elisabeth@asesoriasantanagonzalez.com,Unknown,"fiscal, contable, laboral",direct_email,95,85,asesoria-santana-gonzalez-maria-elisabeth-deniz-valido|santa-lucia-de-tirajana-gran-canaria|email|elisabeth-asesoriasantanagonzalez-com,"site:org ""asesores fiscales"" Canarias asociacion",66,Unknown,928756473,Unknown,despacho,80,928756473 | elisabeth@asesoriasantanagonzalez.com,Fetcher,2026-03-07T23:46:09+00:00,aafc_directory_pilot
ASESORIA LABORAL ALEJANDRO,specialized_directory,AAFC - Despachos Profesionales,https://asesoresfiscalesdecanarias.org/servicios/despachos-profesionales/,sd_colegial_sectorial,telde|gran canaria,email,asesoralejandro@telefonica.net,Unknown,"fiscal, contable, laboral",direct_email,95,85,asesoria-laboral-alejandro|telde-gran-canaria|email|asesoralejandro-telefonica-net,"site:org ""asesores fiscales"" Canarias asociacion",19,Unknown,928701490,Unknown,despacho,80,928701490 | asesoralejandro@telefonica.net,Fetcher,2026-03-07T23:46:09+00:00,aafc_directory_pilot
ASESORIA CONSULTING CRISTY PLASENCIA,specialized_directory,AAFC - Despachos Profesionales,https://asesoresfiscalesdecanarias.org/servicios/despachos-profesionales/,sd_colegial_sectorial,guia de isora|tenerife,email,asesoriaconsulting@cristyplasencia.com,Unknown,"fiscal, contable, laboral",direct_email,95,85,asesoria-consulting-cristy-plasencia|guia-de-isora-tenerife|email|asesoriaconsulting-cristyplasencia-com,"site:org ""asesores fiscales"" Canarias asociacion",64,Unknown,34677718993,Unknown,despacho,80,+34677718993 | ASESORIACONSULTING@CRISTYPLASENCIA.COM,Fetcher,2026-03-07T23:46:09+00:00,aafc_directory_pilot
ALODAN ASESORES SL,specialized_directory,AAFC - Despachos Profesionales,https://asesoresfiscalesdecanarias.org/servicios/despachos-profesionales/,sd_colegial_sectorial,granadilla de abona|tenerife,email,alodan@alodanasesores.es,Unknown,"fiscal, contable, laboral",direct_email,95,85,alodan-asesores|granadilla-de-abona-tenerife|email|alodan-alodanasesores-es,"site:org ""asesores fiscales"" Canarias asociacion",40,Unknown,922246012,Unknown,despacho,80,922246012 | alodan@alodanasesores.es,Fetcher,2026-03-07T23:46:09+00:00,aafc_directory_pilot
PERTIERRA ASESORES,specialized_directory,AAFC - Despachos Profesionales,https://asesoresfiscalesdecanarias.org/servicios/despachos-profesionales/,sd_colegial_sectorial,santa cruz de tenerife|tenerife,email,asesores@pertierra.es,Unknown,"fiscal, contable","direct_email, capital_insular",95,85,pertierra-asesores|santa-cruz-de-tenerife-tenerife|email|asesores-pertierra-es,"site:org ""asesores fiscales"" Canarias asociacion",21,Unknown,922291710,Unknown,despacho,75,922291710 | asesores@pertierra.es,Fetcher,2026-03-07T23:46:09+00:00,aafc_directory_pilot
PATRIMONIO NETO SLP,specialized_directory,AAFC - Despachos Profesionales,https://asesoresfiscalesdecanarias.org/servicios/despachos-profesionales/,sd_colegial_sectorial,las palmas de gran canaria|gran canaria,email,sergio@netoconsultores.es,Unknown,"fiscal, contable","direct_email, capital_insular",95,85,patrimonio-neto|las-palmas-de-gran-canaria-gran-canaria|email|sergio-netoconsultores-es,"site:org ""asesores fiscales"" Canarias asociacion",23,Unknown,928380946,Unknown,despacho,75,928380946 | sergio@netoconsultores.es,Fetcher,2026-03-07T23:46:09+00:00,aafc_directory_pilot
"R.CALLERO ASESORES,S.L.",specialized_directory,AAFC - Despachos Profesionales,https://asesoresfiscalesdecanarias.org/servicios/despachos-profesionales/,sd_colegial_sectorial,arrecife|lanzarote,email,ramon@rcallero.es,Unknown,"fiscal, contable, laboral",direct_email,95,85,r-callero-asesores|arrecife-lanzarote|email|ramon-rcallero-es,"site:org ""asesores fiscales"" Canarias asociacion",3,Unknown,928814275,Unknown,despacho,70,928814275 | ramon@rcallero.es,Fetcher,2026-03-07T23:46:09+00:00,aafc_directory_pilot
MARIO JAVIER LODOS VILLALBA,specialized_directory,AAFC - Despachos Profesionales,https://asesoresfiscalesdecanarias.org/servicios/despachos-profesionales/,sd_colegial_sectorial,puerto del rosario|fuerteventura,email,mariolodos@asesoriamariolodos.es,Unknown,"fiscal, contable, laboral",direct_email,95,85,mario-javier-lodos-villalba|puerto-del-rosario-fuerteventura|email|mariolodos-asesoriamariolodos-es,"site:org ""asesores fiscales"" Canarias asociacion",6,Unknown,928531617,Unknown,despacho,70,928531617 - 828913876 | mariolodos@asesoriamariolodos.es,Fetcher,2026-03-07T23:46:09+00:00,aafc_directory_pilot
LPR ASESOR,specialized_directory,AAFC - Despachos Profesionales,https://asesoresfiscalesdecanarias.org/servicios/despachos-profesionales/,sd_colegial_sectorial,telde|gran canaria,email,lpadilla@economistas.org,Unknown,"fiscal, contable",direct_email,95,85,lpr-asesor|telde-gran-canaria|email|lpadilla-economistas-org,"site:org ""asesores fiscales"" Canarias asociacion",67,Unknown,676256507,Unknown,despacho,70,676256507 | lpadilla@economistas.org,Fetcher,2026-03-07T23:46:09+00:00,aafc_directory_pilot
GONZÁLEZ Y GARCÍA CONSULTORES,specialized_directory,AAFC - Despachos Profesionales,https://asesoresfiscalesdecanarias.org/servicios/despachos-profesionales/,sd_colegial_sectorial,guia de isora|tenerife,email,juanjose@gonzalezygarciaconsultores.es,Unknown,"fiscal, contable",direct_email,95,85,gonzalez-y-garcia-consultores|guia-de-isora-tenerife|email|juanjose-gonzalezygarciaconsultores-es,"site:org ""asesores fiscales"" Canarias asociacion",58,Unknown,922852352,Unknown,despacho,70,922852352 | juanjose@gonzalezygarciaconsultores.es,Fetcher,2026-03-07T23:46:09+00:00,aafc_directory_pilot
ASESORIA-GESTORIA ABEL FERNANDEZ SLU,specialized_directory,AAFC - Despachos Profesionales,https://asesoresfiscalesdecanarias.org/servicios/despachos-profesionales/,sd_colegial_sectorial,valverde|el hierro,email,abelfer@infonegocio.com,Unknown,"fiscal, contable, laboral",direct_email,95,85,asesoria-gestoria-abel-fernandez-slu|valverde-el-hierro|email|abelfer-infonegocio-com,"site:org ""asesores fiscales"" Canarias asociacion",26,Unknown,922550356,Unknown,despacho,70,922550356 | ABELFER@INFONEGOCIO.COM,Fetcher,2026-03-07T23:46:09+00:00,aafc_directory_pilot
RED TAPE CONSULTING SL,specialized_directory,AAFC - Despachos Profesionales,https://asesoresfiscalesdecanarias.org/servicios/despachos-profesionales/,sd_colegial_sectorial,teguise|lanzarote,email,alba@redtapelanzarote.com,Unknown,"fiscal, contable",direct_email,95,85,red-tape-consulting|teguise-lanzarote|email|alba-redtapelanzarote-com,"site:org ""asesores fiscales"" Canarias asociacion",27,Unknown,625032910,Unknown,despacho,60,625032910 | alba@redtapelanzarote.com,Fetcher,2026-03-07T23:46:09+00:00,aafc_directory_pilot
GRAN CANARIA | LAS PALMAS DE GRAN CANARIA,specialized_directory,AAFC - Despachos Profesionales,https://asesoresfiscalesdecanarias.org/servicios/despachos-profesionales/,sd_colegial_sectorial,mhutton@economistas.org|,email,mhutton@economistas.org,Unknown,"fiscal, contable",direct_email,95,85,gran-canaria-las-palmas-de-gran-canaria|mhutton-economistas-org|email|mhutton-economistas-org,"site:org ""asesores fiscales"" Canarias asociacion",39,Unknown,Unknown,Unknown,despacho,60,| mhutton@economistas.org,Fetcher,2026-03-07T23:46:09+00:00,aafc_directory_pilot
SP ASESORÍA INTEGRAL S.L.,specialized_directory,AAFC - Despachos Profesionales,https://asesoresfiscalesdecanarias.org/servicios/despachos-profesionales/,sd_colegial_sectorial,las palmas de gran canaria|gran canaria,email,info@spasesoriaintegral.com,Unknown,"fiscal, contable, laboral","direct_email, capital_insular",95,72,sp-asesoria-integral|las-palmas-de-gran-canaria-gran-canaria|email|info-spasesoriaintegral-com,"site:org ""asesores fiscales"" Canarias asociacion",68,Unknown,928263756,Unknown,despacho,85,928263756 | info@spasesoriaintegral.com,Fetcher,2026-03-07T23:46:09+00:00,aafc_directory_pilot
SIETE X CIENTO,specialized_directory,AAFC - Despachos Profesionales,https://asesoresfiscalesdecanarias.org/servicios/despachos-profesionales/,sd_colegial_sectorial,santa cruz de tenerife|tenerife,email,info@sietexciento.es,Unknown,"fiscal, contable, laboral","direct_email, capital_insular",95,72,siete-x-ciento|santa-cruz-de-tenerife-tenerife|email|info-sietexciento-es,"site:org ""asesores fiscales"" Canarias asociacion",61,Unknown,686700448,Unknown,despacho,85,686700448 | info@sietexciento.es,Fetcher,2026-03-07T23:46:09+00:00,aafc_directory_pilot
SANRO ASESORES,specialized_directory,AAFC - Despachos Profesionales,https://asesoresfiscalesdecanarias.org/servicios/despachos-profesionales/,sd_colegial_sectorial,las palmas de gran canaria|gran canaria,email,info@sanroasesores.com,Unknown,"fiscal, contable, laboral","direct_email, capital_insular",95,72,sanro-asesores|las-palmas-de-gran-canaria-gran-canaria|email|info-sanroasesores-com,"site:org ""asesores fiscales"" Canarias asociacion",42,Unknown,928261920,Unknown,despacho,85,928261920 / 928275482 | info@sanroasesores.com,Fetcher,2026-03-07T23:46:09+00:00,aafc_directory_pilot
"MP LAS PALMAS 2020,SL",specialized_directory,AAFC - Despachos Profesionales,https://asesoresfiscalesdecanarias.org/servicios/despachos-profesionales/,sd_colegial_sectorial,las palmas de gran canaria|gran canaria,email,info@mplaspalmas.com,Unknown,"fiscal, contable, laboral","direct_email, capital_insular",95,72,mp-las-palmas-2020|las-palmas-de-gran-canaria-gran-canaria|email|info-mplaspalmas-com,"site:org ""asesores fiscales"" Canarias asociacion",17,Unknown,928483154,Unknown,despacho,85,928483154 | info@mplaspalmas.com,Fetcher,2026-03-07T23:46:09+00:00,aafc_directory_pilot
LAMAR ASESORÍA,specialized_directory,AAFC - Despachos Profesionales,https://asesoresfiscalesdecanarias.org/servicios/despachos-profesionales/,sd_colegial_sectorial,las palmas de gran canaria|gran canaria,email,info@lamarasesoria.com,Unknown,"fiscal, contable, laboral","direct_email, capital_insular",95,72,lamar-asesoria|las-palmas-de-gran-canaria-gran-canaria|email|info-lamarasesoria-com,"site:org ""asesores fiscales"" Canarias asociacion",54,Unknown,828981278,Unknown,despacho,85,828981278 | info@lamarasesoria.com,Fetcher,2026-03-07T23:46:09+00:00,aafc_directory_pilot
"GARCÍA RUIZ CONSULTORES, S.L.",specialized_directory,AAFC - Despachos Profesionales,https://asesoresfiscalesdecanarias.org/servicios/despachos-profesionales/,sd_colegial_sectorial,las palmas de gran canaria|gran canaria,email,info@asesoriagarciamendoza.com,Unknown,"fiscal, contable, laboral","direct_email, capital_insular",95,72,garcia-ruiz-consultores|las-palmas-de-gran-canaria-gran-canaria|email|info-asesoriagarciamendoza-com,"site:org ""asesores fiscales"" Canarias asociacion",20,Unknown,928371500,Unknown,despacho,85,928371500 | info@asesoriagarciamendoza.com,Fetcher,2026-03-07T23:46:09+00:00,aafc_directory_pilot
CANARIE CONSULTING DI RENATO SPIZZICHINO SLU,specialized_directory,AAFC - Despachos Profesionales,https://asesoresfiscalesdecanarias.org/servicios/despachos-profesionales/,sd_colegial_sectorial,las palmas de gran canaria|gran canaria,email,info@canarieconsulting.com,Unknown,"fiscal, contable, laboral","direct_email, capital_insular",95,72,canarie-consulting-di-renato-spizzichino-slu|las-palmas-de-gran-canaria-gran-canaria|email|info-canarieconsulting-com,"site:org ""asesores fiscales"" Canarias asociacion",36,Unknown,928765249,Unknown,despacho,85,928765249 | info@canarieconsulting.com,Fetcher,2026-03-07T23:46:09+00:00,aafc_directory_pilot
"ASCORA ASESORÍA FISCAL, S.L.",specialized_directory,AAFC - Despachos Profesionales,https://asesoresfiscalesdecanarias.org/servicios/despachos-profesionales/,sd_colegial_sectorial,las palmas de gran canaria|gran canaria,email,administracion@ascora.es,Unknown,"fiscal, contable, laboral","direct_email, capital_insular",95,72,ascora-asesoria-fiscal|las-palmas-de-gran-canaria-gran-canaria|email|administracion-ascora-es,"site:org ""asesores fiscales"" Canarias asociacion",38,Unknown,928353907,Unknown,despacho,85,928353907 | administracion@ascora.es,Fetcher,2026-03-07T23:46:09+00:00,aafc_directory_pilot
VILLA Y SECO ASESORES S.L.U.,specialized_directory,AAFC - Despachos Profesionales,https://asesoresfiscalesdecanarias.org/servicios/despachos-profesionales/,sd_colegial_sectorial,telde|gran canaria,email,info@vysasesores.com,Unknown,"fiscal, contable, laboral",direct_email,95,72,villa-y-seco-asesores-u|telde-gran-canaria|email|info-vysasesores-com,"site:org ""asesores fiscales"" Canarias asociacion",35,Unknown,603011470,Unknown,despacho,80,603011470 | INFO@VYSASESORES.COM,Fetcher,2026-03-07T23:46:09+00:00,aafc_directory_pilot
RODRIGUEZ Y GUERRERO Y ASOCIADOS CONSULTANTS S.L.,specialized_directory,AAFC - Despachos Profesionales,https://asesoresfiscalesdecanarias.org/servicios/despachos-profesionales/,sd_colegial_sectorial,telde|gran canaria,email,asesoria@rygasesor.com,Unknown,"fiscal, contable, laboral",direct_email,95,72,rodriguez-y-guerrero-y-asociados-consultants|telde-gran-canaria|email|asesoria-rygasesor-com,"site:org ""asesores fiscales"" Canarias asociacion",2,Unknown,928715360,Unknown,despacho,80,928715360 | asesoria@rygasesor.com,Fetcher,2026-03-07T23:46:09+00:00,aafc_directory_pilot
"MARTÍNEZ Y ASOCIADOS,S.C.P.",specialized_directory,AAFC - Despachos Profesionales,https://asesoresfiscalesdecanarias.org/servicios/despachos-profesionales/,sd_colegial_sectorial,san bartolome de tirajana|gran canaria,email,info@martinezyasociados.net,Unknown,"fiscal, contable, laboral",direct_email,95,72,martinez-y-asociados|san-bartolome-de-tirajana-gran-canaria|email|info-martinezyasociados-net,"site:org ""asesores fiscales"" Canarias asociacion",53,Unknown,928529817,Unknown,despacho,80,928529817 | info@martinezyasociados.net,Fetcher,2026-03-07T23:46:09+00:00,aafc_directory_pilot
HERGONZA ASESORES,specialized_directory,AAFC - Despachos Profesionales,https://asesoresfiscalesdecanarias.org/servicios/despachos-profesionales/,sd_colegial_sectorial,puerto de la cruz|tenerife,email,info@hergonza.com,Unknown,"fiscal, contable, laboral",direct_email,95,72,hergonza-asesores|puerto-de-la-cruz-tenerife|email|info-hergonza-com,"site:org ""asesores fiscales"" Canarias asociacion",48,Unknown,922878575,Unknown,despacho,80,922878575 | info@hergonza.com,Fetcher,2026-03-07T23:46:09+00:00,aafc_directory_pilot
GONZÁLEZ ABOGADOS & ASESORES,specialized_directory,AAFC - Despachos Profesionales,https://asesoresfiscalesdecanarias.org/servicios/despachos-profesionales/,sd_colegial_sectorial,telde|gran canaria,email,info@gonzalezabogadosyasesores.com,Unknown,"fiscal, contable, laboral",direct_email,95,72,gonzalez-abogados-and-asesores|telde-gran-canaria|email|info-gonzalezabogadosyasesores-com,"site:org ""asesores fiscales"" Canarias asociacion",10,Unknown,928059210,Unknown,despacho,80,928059210 | info@gonzalezabogadosyasesores.com,Fetcher,2026-03-07T23:46:09+00:00,aafc_directory_pilot
"GESTORES Y ASESORES JUBENKAS, S.L.U",specialized_directory,AAFC - Despachos Profesionales,https://asesoresfiscalesdecanarias.org/servicios/despachos-profesionales/,sd_colegial_sectorial,santa lucia de tirajana|gran canaria,email,info@asesoriajubenkas.com,Unknown,"fiscal, contable, laboral",direct_email,95,72,gestores-y-asesores-jubenkas-u|santa-lucia-de-tirajana-gran-canaria|email|info-asesoriajubenkas-com,"site:org ""asesores fiscales"" Canarias asociacion",14,Unknown,928792784,Unknown,despacho,80,928792784 | INFO@ASESORIAJUBENKAS.COM,Fetcher,2026-03-07T23:46:09+00:00,aafc_directory_pilot
GESTIDO ASESORES SL,specialized_directory,AAFC - Despachos Profesionales,https://asesoresfiscalesdecanarias.org/servicios/despachos-profesionales/,sd_colegial_sectorial,san cristobal de la laguna|tenerife,email,direccion@gestidoasesores.com,Unknown,"fiscal, contable, laboral",direct_email,95,72,gestido-asesores|san-cristobal-de-la-laguna-tenerife|email|direccion-gestidoasesores-com,"site:org ""asesores fiscales"" Canarias asociacion",29,Unknown,922926615,Unknown,despacho,80,922926615 | direccion@gestidoasesores.com,Fetcher,2026-03-07T23:46:09+00:00,aafc_directory_pilot
"FINANCANARY, S.L.",specialized_directory,AAFC - Despachos Profesionales,https://asesoresfiscalesdecanarias.org/servicios/despachos-profesionales/,sd_colegial_sectorial,santa lucia de tirajana|gran canaria,email,info@financanary.es,Unknown,"fiscal, contable, laboral",direct_email,95,72,financanary|santa-lucia-de-tirajana-gran-canaria|email|info-financanary-es,"site:org ""asesores fiscales"" Canarias asociacion",28,Unknown,928793679,Unknown,despacho,80,928793679 | info@financanary.es,Fetcher,2026-03-07T23:46:09+00:00,aafc_directory_pilot
"ECOVEN ASESORES Y ECONOMISTAS, S.L.",specialized_directory,AAFC - Despachos Profesionales,https://asesoresfiscalesdecanarias.org/servicios/despachos-profesionales/,sd_colegial_sectorial,san bartolome de tirajana|gran canaria,email,info@ecoven.info,Unknown,"fiscal, contable, laboral",direct_email,95,72,ecoven-asesores-y-economistas|san-bartolome-de-tirajana-gran-canaria|email|info-ecoven-info,"site:org ""asesores fiscales"" Canarias asociacion",44,Unknown,928768392,Unknown,despacho,80,928768392 | info@ecoven.info,Fetcher,2026-03-07T23:46:09+00:00,aafc_directory_pilot
"DIAZ LLARENA CONSULTORES Y ASESORES, SLP",specialized_directory,AAFC - Despachos Profesionales,https://asesoresfiscalesdecanarias.org/servicios/despachos-profesionales/,sd_colegial_sectorial,güimar|tenerife,email,info@llarenaasesores.com,Unknown,"fiscal, contable, laboral",direct_email,95,72,diaz-llarena-consultores-y-asesores|guimar-tenerife|email|info-llarenaasesores-com,"site:org ""asesores fiscales"" Canarias asociacion",69,Unknown,922392754,Unknown,despacho,80,922-392-754 | info@llarenaasesores.com,Fetcher,2026-03-07T23:46:09+00:00,aafc_directory_pilot
CARRIZAL CONSULTING SL,specialized_directory,AAFC - Despachos Profesionales,https://asesoresfiscalesdecanarias.org/servicios/despachos-profesionales/,sd_colegial_sectorial,ingenio|gran canaria,email,info@carrizalconsulting.com,Unknown,"fiscal, contable, laboral",direct_email,95,72,carrizal-consulting|ingenio-gran-canaria|email|info-carrizalconsulting-com,"site:org ""asesores fiscales"" Canarias asociacion",24,Unknown,928789115,Unknown,despacho,80,928789115 | info@carrizalconsulting.com,Fetcher,2026-03-07T23:46:09+00:00,aafc_directory_pilot
ASESORIA SANTIAGO HERNANDEZ,specialized_directory,AAFC - Despachos Profesionales,https://asesoresfiscalesdecanarias.org/servicios/despachos-profesionales/,sd_colegial_sectorial,san cristobal de la laguna|tenerife,email,fiscal@asesoriahdez.com,Unknown,"fiscal, contable, laboral",direct_email,95,72,asesoria-santiago-hernandez|san-cristobal-de-la-laguna-tenerife|email|fiscal-asesoriahdez-com,"site:org ""asesores fiscales"" Canarias asociacion",1,Unknown,649467945,Unknown,despacho,80,649467945 | fiscal@asesoriahdez.com,Fetcher,2026-03-07T23:46:09+00:00,aafc_directory_pilot
ASESORIA FCG,specialized_directory,AAFC - Despachos Profesionales,https://asesoresfiscalesdecanarias.org/servicios/despachos-profesionales/,sd_colegial_sectorial,santa lucia de tirajana|gran canaria,email,info@fcgasesoria.es,Unknown,"fiscal, contable, laboral",direct_email,95,72,asesoria-fcg|santa-lucia-de-tirajana-gran-canaria|email|info-fcgasesoria-es,"site:org ""asesores fiscales"" Canarias asociacion",12,Unknown,928791636,Unknown,despacho,80,928791636 | info@fcgasesoria.es,Fetcher,2026-03-07T23:46:09+00:00,aafc_directory_pilot
ARGUAMA CONSULTORES EMPRESARIALES SL,specialized_directory,AAFC - Despachos Profesionales,https://asesoresfiscalesdecanarias.org/servicios/despachos-profesionales/,sd_colegial_sectorial,candelaria|tenerife,email,administracion@arguamaconsultores.es,Unknown,"fiscal, contable, laboral",direct_email,95,72,arguama-consultores-empresariales|candelaria-tenerife|email|administracion-arguamaconsultores-es,"site:org ""asesores fiscales"" Canarias asociacion",30,Unknown,922278008,Unknown,despacho,80,922278008 | administracion@arguamaconsultores.es,Fetcher,2026-03-07T23:46:09+00:00,aafc_directory_pilot
ADRIANA DE LA NUEZ ASESORES SLP,specialized_directory,AAFC - Despachos Profesionales,https://asesoresfiscalesdecanarias.org/servicios/despachos-profesionales/,sd_colegial_sectorial,adeje|tenerife,email,asesoria@adrianadelanuez.com,Unknown,"fiscal, contable, laboral",direct_email,95,72,adriana-de-la-nuez-asesores|adeje-tenerife|email|asesoria-adrianadelanuez-com,"site:org ""asesores fiscales"" Canarias asociacion",47,Unknown,671367761,Unknown,despacho,80,671367761 | asesoria@adrianadelanuez.com,Fetcher,2026-03-07T23:46:09+00:00,aafc_directory_pilot
