company_name,source_lane,source_name,source_url,query_cluster,geography,contact_channel_type,email_or_channel,website_url,services,icp_signals,source_quality_score,contactability_score,dedupe_key,source_query,source_rank,contact_page_url,company_phone,postal_address,role_hint,icp_score,evidence_snippet,scrapling_fetcher,extracted_at_utc,notes
ASESORIA SANTANA GONZALEZ- MARÍA ELISABETH DÉNIZ VALIDO,specialized_directory,AAFC - Despachos Profesionales,https://asesoresfiscalesdecanarias.org/servicios/despachos-profesionales/,sd_colegial_sectorial,santa lucia de tirajana|gran canaria,email,elisabeth@asesoriasantanagonzalez.com,Unknown,"fiscal, contable, laboral",direct_email,95,85,asesoria-santana-gonzalez-maria-elisabeth-deniz-valido|santa-lucia-de-tirajana-gran-canaria|email|elisabeth-asesoriasantanagonzalez-com,"site:org ""asesores fiscales"" Canarias asociacion",66,Unknown,928756473,Unknown,despacho,80,928756473 | elisabeth@asesoriasantanagonzalez.com,Fetcher,2026-03-07T23:46:09+00:00,aafc_directory_pilot
ASESORIA LABORAL ALEJANDRO,specialized_directory,AAFC - Despachos Profesionales,https://asesoresfiscalesdecanarias.org/servicios/despachos-profesionales/,sd_colegial_sectorial,telde|gran canaria,email,asesoralejandro@telefonica.net,Unknown,"fiscal, contable, laboral",direct_email,95,85,asesoria-laboral-alejandro|telde-gran-canaria|email|asesoralejandro-telefonica-net,"site:org ""asesores fiscales"" Canarias asociacion",19,Unknown,928701490,Unknown,despacho,80,928701490 | asesoralejandro@telefonica.net,Fetcher,2026-03-07T23:46:09+00:00,aafc_directory_pilot
ASESORIA CONSULTING CRISTY PLASENCIA,specialized_directory,AAFC - Despachos Profesionales,https://asesoresfiscalesdecanarias.org/servicios/despachos-profesionales/,sd_colegial_sectorial,guia de isora|tenerife,email,asesoriaconsulting@cristyplasencia.com,Unknown,"fiscal, contable, laboral",direct_email,95,85,asesoria-consulting-cristy-plasencia|guia-de-isora-tenerife|email|asesoriaconsulting-cristyplasencia-com,"site:org ""asesores fiscales"" Canarias asociacion",64,Unknown,34677718993,Unknown,despacho,80,+34677718993 | ASESORIACONSULTING@CRISTYPLASENCIA.COM,Fetcher,2026-03-07T23:46:09+00:00,aafc_directory_pilot
ALODAN ASESORES SL,specialized_directory,AAFC - Despachos Profesionales,https://asesoresfiscalesdecanarias.org/servicios/despachos-profesionales/,sd_colegial_sectorial,granadilla de abona|tenerife,email,alodan@alodanasesores.es,Unknown,"fiscal, contable, laboral",direct_email,95,85,alodan-asesores|granadilla-de-abona-tenerife|email|alodan-alodanasesores-es,"site:org ""asesores fiscales"" Canarias asociacion",40,Unknown,922246012,Unknown,despacho,80,922246012 | alodan@alodanasesores.es,Fetcher,2026-03-07T23:46:09+00:00,aafc_directory_pilot
PERTIERRA ASESORES,specialized_directory,AAFC - Despachos Profesionales,https://asesoresfiscalesdecanarias.org/servicios/despachos-profesionales/,sd_colegial_sectorial,santa cruz de tenerife|tenerife,email,asesores@pertierra.es,Unknown,"fiscal, contable","direct_email, capital_insular",95,85,pertierra-asesores|santa-cruz-de-tenerife-tenerife|email|asesores-pertierra-es,"site:org ""asesores fiscales"" Canarias asociacion",21,Unknown,922291710,Unknown,despacho,75,922291710 | asesores@pertierra.es,Fetcher,2026-03-07T23:46:09+00:00,aafc_directory_pilot
PATRIMONIO NETO SLP,specialized_directory,AAFC - Despachos Profesionales,https://asesoresfiscalesdecanarias.org/servicios/despachos-profesionales/,sd_colegial_sectorial,las palmas de gran canaria|gran canaria,email,sergio@netoconsultores.es,Unknown,"fiscal, contable","direct_email, capital_insular",95,85,patrimonio-neto|las-palmas-de-gran-canaria-gran-canaria|email|sergio-netoconsultores-es,"site:org ""asesores fiscales"" Canarias asociacion",23,Unknown,928380946,Unknown,despacho,75,928380946 | sergio@netoconsultores.es,Fetcher,2026-03-07T23:46:09+00:00,aafc_directory_pilot
"R.CALLERO ASESORES,S.L.",specialized_directory,AAFC - Despachos Profesionales,https://asesoresfiscalesdecanarias.org/servicios/despachos-profesionales/,sd_colegial_sectorial,arrecife|lanzarote,email,ramon@rcallero.es,Unknown,"fiscal, contable, laboral",direct_email,95,85,r-callero-asesores|arrecife-lanzarote|email|ramon-rcallero-es,"site:org ""asesores fiscales"" Canarias asociacion",3,Unknown,928814275,Unknown,despacho,70,928814275 | ramon@rcallero.es,Fetcher,2026-03-07T23:46:09+00:00,aafc_directory_pilot
MARIO JAVIER LODOS VILLALBA,specialized_directory,AAFC - Despachos Profesionales,https://asesoresfiscalesdecanarias.org/servicios/despachos-profesionales/,sd_colegial_sectorial,puerto del rosario|fuerteventura,email,mariolodos@asesoriamariolodos.es,Unknown,"fiscal, contable, laboral",direct_email,95,85,mario-javier-lodos-villalba|puerto-del-rosario-fuerteventura|email|mariolodos-asesoriamariolodos-es,"site:org ""asesores fiscales"" Canarias asociacion",6,Unknown,928531617,Unknown,despacho,70,928531617 - 828913876 | mariolodos@asesoriamariolodos.es,Fetcher,2026-03-07T23:46:09+00:00,aafc_directory_pilot
LPR ASESOR,specialized_directory,AAFC - Despachos Profesionales,https://asesoresfiscalesdecanarias.org/servicios/despachos-profesionales/,sd_colegial_sectorial,telde|gran canaria,email,lpadilla@economistas.org,Unknown,"fiscal, contable",direct_email,95,85,lpr-asesor|telde-gran-canaria|email|lpadilla-economistas-org,"site:org ""asesores fiscales"" Canarias asociacion",67,Unknown,676256507,Unknown,despacho,70,676256507 | lpadilla@economistas.org,Fetcher,2026-03-07T23:46:09+00:00,aafc_directory_pilot
GONZÁLEZ Y GARCÍA CONSULTORES,specialized_directory,AAFC - Despachos Profesionales,https://asesoresfiscalesdecanarias.org/servicios/despachos-profesionales/,sd_colegial_sectorial,guia de isora|tenerife,email,juanjose@gonzalezygarciaconsultores.es,Unknown,"fiscal, contable",direct_email,95,85,gonzalez-y-garcia-consultores|guia-de-isora-tenerife|email|juanjose-gonzalezygarciaconsultores-es,"site:org ""asesores fiscales"" Canarias asociacion",58,Unknown,922852352,Unknown,despacho,70,922852352 | juanjose@gonzalezygarciaconsultores.es,Fetcher,2026-03-07T23:46:09+00:00,aafc_directory_pilot
ASESORIA-GESTORIA ABEL FERNANDEZ SLU,specialized_directory,AAFC - Despachos Profesionales,https://asesoresfiscalesdecanarias.org/servicios/despachos-profesionales/,sd_colegial_sectorial,valverde|el hierro,email,abelfer@infonegocio.com,Unknown,"fiscal, contable, laboral",direct_email,95,85,asesoria-gestoria-abel-fernandez-slu|valverde-el-hierro|email|abelfer-infonegocio-com,"site:org ""asesores fiscales"" Canarias asociacion",26,Unknown,922550356,Unknown,despacho,70,922550356 | ABELFER@INFONEGOCIO.COM,Fetcher,2026-03-07T23:46:09+00:00,aafc_directory_pilot
RED TAPE CONSULTING SL,specialized_directory,AAFC - Despachos Profesionales,https://asesoresfiscalesdecanarias.org/servicios/despachos-profesionales/,sd_colegial_sectorial,teguise|lanzarote,email,alba@redtapelanzarote.com,Unknown,"fiscal, contable",direct_email,95,85,red-tape-consulting|teguise-lanzarote|email|alba-redtapelanzarote-com,"site:org ""asesores fiscales"" Canarias asociacion",27,Unknown,625032910,Unknown,despacho,60,625032910 | alba@redtapelanzarote.com,Fetcher,2026-03-07T23:46:09+00:00,aafc_directory_pilot
GRAN CANARIA | LAS PALMAS DE GRAN CANARIA,specialized_directory,AAFC - Despachos Profesionales,https://asesoresfiscalesdecanarias.org/servicios/despachos-profesionales/,sd_colegial_sectorial,mhutton@economistas.org|,email,mhutton@economistas.org,Unknown,"fiscal, contable",direct_email,95,85,gran-canaria-las-palmas-de-gran-canaria|mhutton-economistas-org|email|mhutton-economistas-org,"site:org ""asesores fiscales"" Canarias asociacion",39,Unknown,Unknown,Unknown,despacho,60,| mhutton@economistas.org,Fetcher,2026-03-07T23:46:09+00:00,aafc_directory_pilot
Lafuente Asesores,google_basic,google_basic_live_serp,https://lafuenteasesores.es/asesoria-autonomos-tenerife/,gb_service_pain,santa cruz de tenerife|tenerife,email,contacto@lafuenteasesores.es,https://lafuenteasesores.es,"fiscal, contable, laboral, autonomos, sociedades, renta, subvenciones","direct_email, capital_insular, autonomos, sociedades",95,80,lafuente-asesores|santa-cruz-de-tenerife-tenerife|email|contacto-lafuenteasesores-es,"""asesoria autonomos"" Canarias ""contacto""",4,https://lafuenteasesores.es/contacto/,34822694710,Unknown,despacho,100,serp=Lafuente Asesores (Tenerife) | channel=contacto@lafuenteasesores.es,StealthySession + Fetcher,2026-03-08T00:01:44+00:00,"google_live_discovery, contact_path_followup, serp_landing_not_root, curated_google_basic_v1"
Gómez Asesores,google_basic,google_basic_live_serp,https://gomezasesores.com/,gb_core_contact,santa cruz de tenerife|tenerife,email,administracion@gomezasesores.com,https://gomezasesores.com,"fiscal, contable, laboral, autonomos","direct_email, capital_insular, autonomos",95,80,gomez-asesores|santa-cruz-de-tenerife-tenerife|email|administracion-gomezasesores-com,"""asesoria fiscal contable"" Canarias email",8,https://gomezasesores.com/contactar-con-gomez-asesores/,616374716,Unknown,despacho,100,serp=Gómez Asesores Gómez Asesores https://gomezasesores.com | channel=administracion@gomezasesores.com,StealthySession + Fetcher,2026-03-08T00:01:34+00:00,"google_live_discovery, contact_path_followup, serp_landing_not_root, curated_google_basic_v1"
Ferrera Asesores Y CONSULTORES,google_basic,google_basic_live_serp,https://ferreraasesores.com/,gb_service_pain,santa cruz de tenerife|tenerife,email,info@ferreraasesores.com,https://ferreraasesores.com,"fiscal, contable, laboral, sociedades, mercantil","direct_email, capital_insular, sociedades",95,80,ferrera-asesores-y-consultores|santa-cruz-de-tenerife-tenerife|email|info-ferreraasesores-com,"""sociedades"" ""asesoria fiscal"" Canarias email",5,Unknown,Unknown,Unknown,despacho,100,serp=Unknown | channel=info@ferreraasesores.com,StealthySession + Fetcher,2026-03-08T00:03:12+00:00,"google_live_discovery, contact_path_followup, serp_landing_not_root, curated_google_basic_v1"
Cabrera Rodríguez,google_basic,google_basic_live_serp,https://cabrerarodriguez.com/asesoria-fiscal-contable/,gb_core_contact,las palmas de gran canaria|gran canaria,email,info@cabrerarodriguez.com,https://cabrerarodriguez.com,"fiscal, contable, laboral, sociedades, mercantil","direct_email, capital_insular, sociedades",95,80,cabrera-rodriguez|las-palmas-de-gran-canaria-gran-canaria|email|info-cabrerarodriguez-com,"""asesoria fiscal contable"" Canarias email",2,https://cabrerarodriguez.com/contacto/,922241188,Unknown,despacho,100,serp=Cabrera Rodríguez | channel=info@cabrerarodriguez.com,StealthySession + Fetcher,2026-03-08T00:00:59+00:00,"google_live_discovery, contact_path_followup, serp_landing_not_root, curated_google_basic_v1"
Asesoría Fiscal y Abogados en Las Palmas de Gran Canaria,google_basic,google_basic_live_serp,https://fiscaltaxcanarias.com/,gb_service_pain,las palmas de gran canaria|gran canaria,email,info@fiscaltaxcanarias.com,https://fiscaltaxcanarias.com,"fiscal, contable, laboral, autonomos, pymes, sociedades, igic, renta, mercantil","direct_email, capital_insular, autonomos, pymes, sociedades, igic",95,80,asesoria-fiscal-y-abogados-en-las-palmas-de-gran-canaria|las-palmas-de-gran-canaria-gran-canaria|email|info-fiscaltaxcanarias-com,"""sociedades"" ""asesoria fiscal"" Canarias email",3,https://fiscaltaxcanarias.com/contactos/,Unknown,Unknown,despacho,100,serp=Unknown | channel=info@fiscaltaxcanarias.com,StealthySession + Fetcher,2026-03-08T00:02:43+00:00,"google_live_discovery, contact_path_followup, serp_landing_not_root, curated_google_basic_v1"
Asesores Tenerife,google_basic,google_basic_live_serp,https://eximasesores.com/contacto/,gb_core_contact,santa cruz de tenerife|tenerife,email,info@eximasesores.com,https://eximasesores.com,"fiscal, contable, laboral, autonomos, pymes, sociedades, igic, renta","direct_email, contact_page, capital_insular, autonomos, pymes, sociedades, igic",95,80,asesores-tenerife|santa-cruz-de-tenerife-tenerife|email|info-eximasesores-com,"""asesoria contable"" ""Santa Cruz de Tenerife"" ""contacto""",5,https://eximasesores.com/contacto/,34689123992,Unknown,despacho,100,serp=CONTACTO Asesores Tenerife https://eximasesores.com › contacto | channel=info@eximasesores.com,StealthySession + Fetcher,2026-03-08T00:00:03+00:00,"google_live_discovery, contact_path_followup, serp_landing_not_root, curated_google_basic_v1"
ah asesores,google_basic,google_basic_live_serp,https://ahasesores.com/,gb_core_contact,santa cruz de tenerife|tenerife,email,info@ahasesores.com,https://ahasesores.com,"fiscal, contable, laboral, pymes, subvenciones","direct_email, capital_insular, pymes",95,80,ah-asesores|santa-cruz-de-tenerife-tenerife|email|info-ahasesores-com,"""asesoria fiscal contable"" Canarias email",4,https://ahasesores.com/contactanos/,922363145,Unknown,despacho,100,serp=ah asesores | channel=info@ahasesores.com,StealthySession + Fetcher,2026-03-08T00:01:18+00:00,"google_live_discovery, contact_path_followup, serp_landing_not_root, curated_google_basic_v1"
Advixy,google_basic,google_basic_live_serp,https://advixy.com/asesoria-fiscal-tenerife-canarias/,gb_service_pain,santa cruz de tenerife|tenerife,email,info@advixy.com,https://advixy.com,"fiscal, contable, laboral, pymes, sociedades, igic, renta","direct_email, capital_insular, pymes, sociedades, igic",95,80,advixy|santa-cruz-de-tenerife-tenerife|email|info-advixy-com,IGIC asesoria Tenerife contacto,5,https://advixy.com/contacto/,34681063229,Unknown,despacho,100,serp=Unknown | channel=info@advixy.com,StealthySession + Fetcher,2026-03-08T00:02:28+00:00,"google_live_discovery, contact_path_followup, serp_landing_not_root, curated_google_basic_v1"
Adriana de la Nuez,google_basic,google_basic_live_serp,https://www.adrianadelanuez.com/,gb_core_contact,santa cruz de tenerife|tenerife,email,asesoria@adrianadelanuez.com,https://adrianadelanuez.com,"fiscal, contable, laboral, sociedades, igic, renta, mercantil, subvenciones","direct_email, capital_insular, sociedades, igic",95,80,adriana-de-la-nuez|santa-cruz-de-tenerife-tenerife|email|asesoria-adrianadelanuez-com,"""asesoria fiscal contable"" Canarias email",7,https://www.adrianadelanuez.com/solicitud-de-contacto,671367761,Unknown,despacho,100,"serp=Adriana de la Nuez - ASESORÍA FISCAL, CONTABLE Y ... Adriana de la Nuez https://www.adrianadelanuez. | channel=asesoria@adrianadelanuez.com",StealthySession + Fetcher,2026-03-08T00:01:30+00:00,"google_live_discovery, contact_path_followup, serp_landing_not_root, curated_google_basic_v1"
You Asesoría,google_basic,google_basic_live_serp,https://www.youasesoria.com/ser-autonomo-en-canarias/,gb_service_pain,unknown|tenerife,email,info@youasesoria.com,https://youasesoria.com,"fiscal, contable, laboral, autonomos, pymes, sociedades, renta, mercantil, subvenciones","direct_email, autonomos, pymes, sociedades",95,80,you-asesoria|unknown-tenerife|email|info-youasesoria-com,"""asesoria autonomos"" Canarias ""contacto""",5,https://www.youasesoria.com/contacto/,34604563796,Unknown,despacho,95,serp=Unknown | channel=info@youasesoria.com,StealthySession + Fetcher,2026-03-08T00:01:48+00:00,"google_live_discovery, contact_path_followup, serp_landing_not_root, curated_google_basic_v1"
Contasert,google_basic,google_basic_live_serp,https://contasert.com/,gb_service_pain,santa cruz de tenerife|tenerife,email,info@contasert.com,https://contasert.com,"fiscal, contable, autonomos, sociedades, subvenciones","direct_email, capital_insular, autonomos, sociedades",95,80,contasert|santa-cruz-de-tenerife-tenerife|email|info-contasert-com,"""asesoria autonomos"" Canarias ""contacto""",1,https://contasert.com/contacto/,Unknown,Unknown,despacho,90,serp=Contasert | channel=info@contasert.com,StealthySession + Fetcher,2026-03-08T00:01:36+00:00,"google_live_discovery, contact_path_followup, serp_landing_not_root, curated_google_basic_v1"
