source,source_url,retrieved_at,keep_numeric_id,project_id,project_acronym,project_name,programme,programming_period,status,start_date,end_date,lead_partner_name,lead_partner_country,partner_count,themes,project_summary_excerpt,outputs_excerpt
keep.eu,https://keep.eu/projects/31247/,2026-06-01T04:42:57.066Z,31247,EAPA_0062/2022,AQUAFISH0.0,Aquaculture & Fisheries 0.0 - Improving the acceptance and social awareness in the consumption of sustainable marine food products developed under the zero-waste philosophy,2021 - 2027 Interreg VI-B Atlantic Area,2021-2027,ongoing,2023-11-01,2026-10-31,Fundación Centro Tecnológico de Acuicultura de Andalucía (Projects Department),Spain,16,Waste and pollution | Agriculture and fisheries and forestry,"AQUAFISH

0.0 is about producing marine food in an innovative and sustainable way.
The project has three main goals. First, they want to do research and develop new and creative ways to make food from parts of the catch that would usually be thrown away. Second, they aim to upda...",
keep.eu,https://keep.eu/projects/31246/,2026-06-01T04:42:57.066Z,31246,EAPA_0061/2022,ADT4blue,Advanced Digital Technologies for the Blue Economy,2021 - 2027 Interreg VI-B Atlantic Area,2021-2027,ongoing,2023-09-01,2026-08-31,Instituto Politécnico da Guarda (Unidade para o Desenvolvimento do Interior),Portugal,21,ICT and digital society | Education and training | SME and entrepreneurship,"ADT4Blue aims to develop and implement action business ideas for the blue economy using Advanced Digital Technologies (ADT) like Artificial Intelligence, Blockchain and IoT.
The partners in different areas will identify challenges, and the group will bring together students, alu...",
keep.eu,https://keep.eu/projects/33231/,2026-06-01T04:42:57.066Z,33231,00041,EONANOBIOPS~A_T_1.1_0167,Essential Oil-derived Next generation Nano-Biopesticides for Sustainable Eco-Friendly Agriculture,2021 - 2027 Interreg VI-B NEXT Mediterranean Sea Basin (NEXT MED),2021-2027,ongoing,2025-07-03,2028-07-02,مركز أبحاث التنوع الحيوي والبيئة,Palestine,7,Health and social services | SME and entrepreneurship | Waste and pollution,"PROJECT TYPE: 1 - Thematic projects
~
MAIN INTERVENTION FIELD: 029. Research and innovation processes, technology transfer and cooperation between enterprises, research centres and universities, focusing on the low carbon economy, resilience and adaptation to climate change
~
SU...","(1.1) Baseline Survey(EN)

(1.2) Project Meetings (e.g., steering, scientific committee)(EN)

(1.3) Kick- of- Meeting(EN)

(1.4) Memorandum of Understanding (MoU)(EN)

(1.5) Monitoring and Evaluation Plan(EN)

(1.6) Pro..."
keep.eu,https://keep.eu/projects/33230/,2026-06-01T04:42:57.066Z,33230,00042,MERAVIGLIA~A_T_3.1_0396,Mediterranean Entrepreneurship's Real Added Values to Innovate and Green Local and Inner Areas,2021 - 2027 Interreg VI-B NEXT Mediterranean Sea Basin (NEXT MED),2021-2027,ongoing,2025-08-09,2028-08-08,Coopérative d'Activité et d'Emploi Petra Patrimonia (CDEPP),France,8,Education and training | Social inclusion and equal opportunities | SME and entrepreneurship,"PROJECT TYPE: 1 - Thematic projects
~
MAIN INTERVENTION FIELD: 140. Support for labour market matching and transitions
~
SUMMARY: MERAVIGLIA répond à 3 défis conjoints: 1) La difficulté d’accès à l’emploi des personnes peu ou pas qualifiés et en particulier les jeunes, les femme...","(1.1) Outil de gestion du projet MERAVIGLIA(EN)

(1.2) Réunions stratégiques, techniques, financières, de communication(EN)

(1.3) Plan de suivi et d'évaluation(EN)

(1.4) Stratégie de gestion de la qualité et des risqu..."
keep.eu,https://keep.eu/projects/33229/,2026-06-01T04:42:57.066Z,33229,00044,SPEEDUP~A_T_1.2_0543,EU-MED hubs to accelerate SMEs sustainable and competitive growth,2021 - 2027 Interreg VI-B NEXT Mediterranean Sea Basin (NEXT MED),2021-2027,ongoing,2025-07-03,2028-07-02,ΕΠΙΣΤΗΜΟΝΙΚΟ ΠΑΡΚΟ ΠΑΤΡΩΝ Α.Ε.,Greece,7,"Labour market and employment | Governance, partnership | SME and entrepreneurship","PROJECT TYPE: 1 - Thematic projects
~
MAIN INTERVENTION FIELD: 026. Support for innovation clusters including between businesses, research organisations and public authorities and business networks primarily benefiting SMEs
~
SUMMARY: The SPEEDUP project ""EU-MED hubs to accelera...","(1.1) Coordination(EN)

(1.2) Quality monitoring and evaluation of results(EN)

(1.3) Executive management(EN)

(2.1) Information and awareness raising campaigns(EN)

(2.2) Promotion and dissemination events(EN)

(2.3)..."
keep.eu,https://keep.eu/projects/33228/,2026-06-01T04:42:57.066Z,33228,00045,MATRIX~A_T_2.4_0289,Mediterranean Pathway for Circular Textiles,2021 - 2027 Interreg VI-B NEXT Mediterranean Sea Basin (NEXT MED),2021-2027,ongoing,2025-09-20,2028-03-19,Catalan Fashion Cluster,Spain,7,Water management | ICT and digital society | SME and entrepreneurship,"PROJECT TYPE: 1 - Thematic projects
~
MAIN INTERVENTION FIELD: 075. Support to environmentally-friendly production processes and resource efficiency in SMEs
~
SUMMARY: The textile & fashion industry are notorious for its significant environmental footprint, ranking among the top...","(1.1) Governance and Management Model(EN)

(1.2) Project Management Tools(EN)

(1.3) MATRIX Monitoring & Evaluation Strategy(EN)

(2.1) Communication and Dissemination Plan(EN)

(2.2) Communication and Dissemination Too..."
keep.eu,https://keep.eu/projects/33227/,2026-06-01T04:42:57.066Z,33227,00046,SMARTMED~A_G_4.1_0529,SMART-MED-CITIES,2021 - 2027 Interreg VI-B NEXT Mediterranean Sea Basin (NEXT MED),2021-2027,ongoing,2025-07-05,2028-07-04,Επιτροπή Ερευνών Πανεπιστημίου Δυτικής Μακεδονίας,Greece,4,"ICT and digital society | Governance, partnership | Community integration and common identity","PROJECT TYPE: 3 - Governance Projects
~
MAIN INTERVENTION FIELD: 173. Enhancing institutional capacity of public authorities and stakeholders to implement territorial cooperation projects and initiatives in a cross-border, transnational, maritime and inter-regional context
~
SUM...","(1.1) Progress reports, Memorandum of Understanding, Technical manual on reporting and financial procedure(EN)

(1.2) Data management plan(EN)

(1.3) Risk management plan(EN)

(2.1) Communication Plan & materials(EN)

(..."
keep.eu,https://keep.eu/projects/33226/,2026-06-01T04:42:57.066Z,33226,00047,SmartGreenEcos~A_T_1.2...,Building Smart Green SME Ecosystem: Transforming MED SMEs into active participants of a smart and green ecosystem and enhancing the economic activity of the food industry,2021 - 2027 Interreg VI-B NEXT Mediterranean Sea Basin (NEXT MED),2021-2027,ongoing,2025-07-17,2028-07-16,RTD TALOS LIMITED,Cyprus,4,Innovation capacity and awareness-raising | ICT and digital society | SME and entrepreneurship,"PROJECT TYPE: 1 - Thematic projects
~
MAIN INTERVENTION FIELD: 026. Support for innovation clusters including between businesses, research organisations and public authorities and business networks primarily benefiting SMEs
~
SUMMARY: PROJECT IDEA: This project aims to create a...","(1.1) 1.1. Project Management/Coordination and Communication(EN)

(1.2) 1.2. Project Administration & Consortium Meetings Organisation(EN)

(1.3) 1.3. Risk Assessment and Mitigation Plan(EN)

(1.4) 1.4. Quality Assuranc..."
keep.eu,https://keep.eu/projects/33225/,2026-06-01T04:42:57.066Z,33225,00051,PLANBEE~A_T_1.2_0450,Promoting Local Apiary Networks and Bee Entrepreneurial Excellence,2021 - 2027 Interreg VI-B NEXT Mediterranean Sea Basin (NEXT MED),2021-2027,ongoing,2025-10-11,2028-10-10,ΚΥΠΡΙΑΚΟ ΕΜΠΟΡΙΚΟ ΚΑΙ ΒΙΟΜΗΧΑΝΙΚΟ ΕΠΙΜΕΛΗΤΗΡΙΟ,Cyprus,7,Demographic change and immigration | Agriculture and fisheries and forestry | Community integration and common identity,"PROJECT TYPE: 1 - Thematic projects
~
MAIN INTERVENTION FIELD: 021. SME business development and internationalisation, including productive investments
~
SUMMARY: Three years ago in a rural village coffeeshop, a group of young people expressed despair over the lack of job opport...","(1.1) O1.1 CONTACT DATABASE AND INTERNAL COMMUNICATION(EN)

(1.2) O1.2 TASK PLANNING DOCUMENT (TPD) & PROCUREMENT PLAN (PP)(EN)

(1.3) O1.3 EVALUATION, MONITORING, RISK PREVENTION & MITIGATION(EN)

(1.4) O1.4 PROJECT ST..."
keep.eu,https://keep.eu/projects/33224/,2026-06-01T04:42:57.066Z,33224,00052,SWAMED~A_T_2.3_0561,Sustainable WAter management for smart agriculture in the MEDiterranean regions,2021 - 2027 Interreg VI-B NEXT Mediterranean Sea Basin (NEXT MED),2021-2027,ongoing,2025-08-01,2028-07-31,Università degli Studi della Campania Luigi Vanvitelli,Italy,5,Water management | Waste and pollution | Agriculture and fisheries and forestry,"PROJECT TYPE: 1 - Thematic projects
~
MAIN INTERVENTION FIELD: 064. Water management and water resource conservation (including river basin management, specific climate change adaptation measures, reuse, leakage reduction)
~
SUMMARY: SWAMED targets Priority 2 Specific Objective...","(1.1) Project meetings management(EN)

(1.2) Technical coordination activities implemented(EN)

(1.3) Handling of administrative, financial and legal aspects(EN)

(1.4) Expenditures verification(EN)

(2.1) Communication..."
keep.eu,https://keep.eu/projects/33223/,2026-06-01T04:42:57.066Z,33223,00053,YOUthCARE4planet~A_Y_2...,YOU(th)CARE 4 Planet - Youth Green Initiative for change,2021 - 2027 Interreg VI-B NEXT Mediterranean Sea Basin (NEXT MED),2021-2027,ongoing,2025-09-11,2027-09-10,COSPE (Cooperazione per lo Sviluppo dei Paesi Emergenti) ETS,Italy,6,"Managing natural and man-made threats, risk management | Education and training | Community integration and common identity","PROJECT TYPE: 2 - Youth-oriented projects
~
MAIN INTERVENTION FIELD: 059. Adaptation to climate change measures and prevention and management of climate related risks: fires (including awareness raising, civil protection and disaster management systems, infrastructures and ecosy...","(1.1) Management and governance framework (Consortium agreement)(EN)

(1.2) Project management milestones(EN)

(1.3) Project MEAL milestones(EN)

(2.1) Project communication strategy(EN)

(2.2) Project visibility covera..."
keep.eu,https://keep.eu/projects/33222/,2026-06-01T04:42:57.066Z,33222,00054,Sludge2Energy~A_T_2.1_...,"Pyrolysis of Dried Sewage Sludge for the Production of Energy and Biochar, as a Multifactor Process for Energy Efficiency and Reduction of Gas Emissions",2021 - 2027 Interreg VI-B NEXT Mediterranean Sea Basin (NEXT MED),2021-2027,ongoing,2025-09-05,2028-09-04,Università degli Studi Niccolò Cusano,Italy,8,Energy efficiency | Waste and pollution | Climate change and biodiversity,"PROJECT TYPE: 1 - Thematic projects
~
MAIN INTERVENTION FIELD: 046. Support to entities that provide services contributing to the low carbon economy and to resilience to climate change, including awareness-raising measures
~
SUMMARY: The energy that is consumed (and the respecte...","(1.1) Management, Risks and Data Managing Plans(EN)

(1.2) 1st year Financial and Activities progress reports(EN)

(1.3) 2nd year Financial and Activities progress report(EN)

(1.4) Final Report(EN)

(2.1) Establishing..."
keep.eu,https://keep.eu/projects/33221/,2026-06-01T04:42:57.066Z,33221,00056,Gov4GreenMed~A_G_4.1_0202,Inclusive Governance Models 4 a Greener Transition in the Mediterranean,2021 - 2027 Interreg VI-B NEXT Mediterranean Sea Basin (NEXT MED),2021-2027,ongoing,2025-09-01,2027-08-31,Fundació Universitària Balmes,Spain,6,"Coastal management and maritime issues | Governance, partnership | Waste and pollution","PROJECT TYPE: 3 - Governance Projects
~
MAIN INTERVENTION FIELD: 173. Enhancing institutional capacity of public authorities and stakeholders to implement territorial cooperation projects and initiatives in a cross-border, transnational, maritime and inter-regional context
~
SUM...","(1.1) Project Governance(EN)

(1.2) Project Management Handbook(EN)

(1.3) Monitoring and Risk Prevention Plan(EN)

(2.1) Communication and Dissemination Action Plan(EN)

(2.2) Communication and awareness raising campai..."
keep.eu,https://keep.eu/projects/33220/,2026-06-01T04:42:57.066Z,33220,00057,CAREMED~A_T_3.2_0066,Community-based Approach for Resilient Mediterranean Health,2021 - 2027 Interreg VI-B NEXT Mediterranean Sea Basin (NEXT MED),2021-2027,ongoing,2025-10-14,2028-10-13,Azienda Ospedaliera Universitaria “Meyer” Istituto di Ricovero e Cura a Carattere Scientifico,Italy,6,Health and social services | ICT and digital society | Community integration and common identity,"PROJECT TYPE: 1 - Thematic projects
~
MAIN INTERVENTION FIELD: 160. Measures to improve the accessibility, effectiveness and resilience of healthcare systems (excluding infrastructure)
~
SUMMARY: CAREMED addresses the challenge of improving access to healthcare by promoting a sh...","(1.1) Transnational Cooperation Framework established(EN)

(1.2) Progress Reports(EN)

(1.3) Technical Manual on reporting, financial, recruiting and implementation procedures(EN)

(1.4) Monitoring and evaluation plan(E..."
keep.eu,https://keep.eu/projects/33219/,2026-06-01T04:42:57.066Z,33219,00059,MEDWISE~A_T_2.4_0393,Mediterranean Waste Innovations for Sustainable Environments,2021 - 2027 Interreg VI-B NEXT Mediterranean Sea Basin (NEXT MED),2021-2027,ongoing,2025-07-17,2028-07-16,Università di Catania,Italy,7,"Governance, partnership | Waste and pollution | Knowledge and technology transfer","PROJECT TYPE: 1 - Thematic projects
~
MAIN INTERVENTION FIELD: 067. Household waste management: prevention, minimisation, sorting, reuse, recycling measures
~
SUMMARY: The Mediterranean grapples with waste management issues, with most municipal waste ending up in landfills untre...","(1.1) Project Governance(EN)

(1.2) Project Management Handbook(EN)

(1.3) Monitoring Plan(EN)

(2.1) Communication and Dissemination Strategy(EN)

(2.2) Communication tools(EN)

(2.3) Mediterranean synergies and Liaisi..."
keep.eu,https://keep.eu/projects/33218/,2026-06-01T04:42:57.066Z,33218,00060,SMAC~A_T_1.2_0523,Sustainability Model for Accommodation MSMEs,2021 - 2027 Interreg VI-B NEXT Mediterranean Sea Basin (NEXT MED),2021-2027,ongoing,2025-09-19,2028-03-18,ΕΠΙΜΕΛΗΤΗΡΙΟ ΔΡΑΜΑΣ,Greece,7,Innovation capacity and awareness-raising | Tourism | SME and entrepreneurship,"PROJECT TYPE: 1 - Thematic projects
~
MAIN INTERVENTION FIELD: 021. SME business development and internationalisation, including productive investments
~
SUMMARY: Sustainable development is a global priority and challenge, motivating governments, institutions, and society in gen...","(1.1) Project meetings(EN)

(1.2) Technical Manuals(EN)

(1.3) Project management(EN)

(1.4) Target group maps (set) – Consultation reports (set)(EN)

(2.1) Communication strategy, plan and evaluation system (sets of do..."
keep.eu,https://keep.eu/projects/33217/,2026-06-01T04:42:57.066Z,33217,00007,WISEMED (ex)~A_T_2.3_0390,MEDiterranean joint Water management and conservatIon SustainablE solutions,2021 - 2027 Interreg VI-B NEXT Mediterranean Sea Basin (NEXT MED),2021-2027,ongoing,2025-10-14,2028-10-13,Istituto per la Cooperazione Universitaria (ICU),Italy,7,Water management | Agriculture and fisheries and forestry | Climate change and biodiversity,"PROJECT TYPE: 1 - Thematic projects
~
MAIN INTERVENTION FIELD: 064. Water management and water resource conservation (including river basin management, specific climate change adaptation measures, reuse, leakage reduction)
~
SUMMARY: MEDWISE addresses the challenge of improving...","(1.1) Progress Reports(EN)

(1.2) Technical Manual on reporting, financial, recruiting and implementation procedures(EN)

(1.3) Transnational Steering, Communication, Technical and Policy Committees(EN)

(1.4) Monitorin..."
keep.eu,https://keep.eu/projects/33216/,2026-06-01T04:42:57.066Z,33216,00049,RESWATER(ex)~A_T_2.3_0417,Non Conventional Water Resources for Resilient Urban Water Management,2021 - 2027 Interreg VI-B NEXT Mediterranean Sea Basin (NEXT MED),2021-2027,ongoing,2025-08-08,2028-08-07,Agenzijia dwar l-Energija u l-Ilma,Malta,7,Water management | Urban development | Waste and pollution,"PROJECT TYPE: 1 - Thematic projects
~
MAIN INTERVENTION FIELD: 064. Water management and water resource conservation (including river basin management, specific climate change adaptation measures, reuse, leakage reduction)
~
SUMMARY: The cumulative impacts of climate change and...","(1.1) Project Management Framework(EN)

(1.2) Project Collaboration Framework(EN)

(1.3) Project Audit Framework(EN)

(2.1) Project Communication Framework(EN)

(2.2) Communication and Dissemination Activities(EN)

(3.1..."
keep.eu,https://keep.eu/projects/33215/,2026-06-01T04:42:57.066Z,33215,00017,MEDAIGENCY()~A_T_3.2_0018,Mediterranean Health in Crisis: Harnessing AI for Resilience,2021 - 2027 Interreg VI-B NEXT Mediterranean Sea Basin (NEXT MED),2021-2027,ongoing,2025-08-19,2028-08-18,الجامعة الأميركية في بيروت,Lebanon,6,"Health and social services | Managing natural and man-made threats, risk management | Knowledge and technology transfer","PROJECT TYPE: 1 - Thematic projects
~
MAIN INTERVENTION FIELD: 160. Measures to improve the accessibility, effectiveness and resilience of healthcare systems (excluding infrastructure)
~
SUMMARY: Advancements in Artificial Intelligence (AI) bring about opportunities to not only...","(1.1) Developed and implemented overall management plan(EN)

(1.2) Submitted progress reports, financial management and final evaluation reports(EN)

(1.3) Established and implemented monitoring and evaluation plan and..."
keep.eu,https://keep.eu/projects/33214/,2026-06-01T04:42:57.066Z,33214,00013,GREENMEDPORTS~A_T_2.1_...,Green Ports Cluster for a Sustainable Mediterranean Maritime and Transport Ecosystem,2021 - 2027 Interreg VI-B NEXT Mediterranean Sea Basin (NEXT MED),2021-2027,ongoing,2025-06-11,2028-06-10,Autorità di Sistema Portuale del Mar Tirreno Settentrionale,Italy,7,Transport and mobility | Logistics and freight transport | Waste and pollution,"PROJECT TYPE: 1 - Thematic projects
~
MAIN INTERVENTION FIELD: 044. Energy efficiency renovation or energy efficiency measures regarding public infrastructure, demonstration projects and supporting measures
~
SUMMARY: Maritime transport, responsible for 90% of international trad...","(1.1) 1.1 Activities Planning Report(EN)

(1.2) 1.2 Technical Manual on reporting and financial procedures(EN)

(1.3) 1.3 Interim and Final Reports(EN)

(1.4) 1.4 Project and Steering Committee Meetings(EN)

(2.1) 2.1 G..."
keep.eu,https://keep.eu/projects/33213/,2026-06-01T04:42:57.066Z,33213,00025,RESt4GREEN~A_T_2.1_0483,"Energy efficiency, Renewable Energy Sources and smarT energy conservation for improved quality of life and a GREENer Mediterranean",2021 - 2027 Interreg VI-B NEXT Mediterranean Sea Basin (NEXT MED),2021-2027,ongoing,2025-07-16,2028-07-15,Πανεπιστήμιο Πατρών- Τμήμα Πολιτικών Μηχανικών,Greece,7,Clustering and economic cooperation | SME and entrepreneurship | Energy efficiency,"PROJECT TYPE: 1 - Thematic projects
~
MAIN INTERVENTION FIELD: 044. Energy efficiency renovation or energy efficiency measures regarding public infrastructure, demonstration projects and supporting measures
~
SUMMARY: The primary energy consumption in the Mediterranean (MED) Bas...","(1.1) Operational Implementation Roadmap(EN)

(1.2) Contact Database and Shared folder(EN)

(1.3) Guidelines for Recruitment & Tendering procedures(EN)

(1.4) Steering/Energy Efficiency/Environmental Monitoring Committe..."
keep.eu,https://keep.eu/projects/30105/,2026-06-01T04:42:57.066Z,30105,Euro-MED0200594,GreenList4MMPAs,Adapting IUCN Green List Standard to the Mediterranean Marine Protected Areas,2021 - 2027 Interreg VI-B EURO Mediterranean (EURO MED),2021-2027,closed,2024-01-01,2026-03-31,Stazione Zoologica Anton Dohrn,Italy,6,Sustainable management of natural resources | Climate change and biodiversity,"The “GreenList4MMPAs” Project aims to adapt, for the first time, the IUCN Green List Standard (GL) to the Mediterranean marine context. The GL is the first global and only universal Standard of best practice for area-based conservation. It aims to provide an international benchm...","Number of project partners(EN)

Action Plan for the establishment of an EAGL at national level, and for the testing at national level of the list of Med MPAs GL Specific Indicators(EN) || - Project's activities workplan..."
keep.eu,https://keep.eu/projects/30104/,2026-06-01T04:42:57.066Z,30104,Euro-MED0200391,INFIRE,INnovative FInancing solutions for climate planning of REsilient and carbon neutral living areas,2021 - 2027 Interreg VI-B EURO Mediterranean (EURO MED),2021-2027,ongoing,2024-01-01,2026-09-30,Regionalna energetska-klimatska agencija Sjeverozapadne Hrvatske,Croatia,11,Climate change and biodiversity,"The Mediterranean is at the forefront of the fight against climate change, requiring cities and regions to act quickly and cooperate to prevent further negative environmental, social, and economic implications. INFIRE addresses two key aspects of the slow transition towards clim...","INFIRE green finance evaluation toolkit(EN)

INFIRE green finance evaluation toolkit(FR)

INFIRE joint strategy for wider uptake of innovative financing schemes in the Euro-MED region(FR)

INFIRE joint strategy for wide..."
keep.eu,https://keep.eu/projects/30103/,2026-06-01T04:42:57.066Z,30103,Euro-MED0200907,ReMED,Towards Climate Resilient Mediterranean Cities,2021 - 2027 Interreg VI-B EURO Mediterranean (EURO MED),2021-2027,ongoing,2024-01-01,2026-09-30,L-Università ta' Malta,Malta,10,"Institutional cooperation and cooperation networks | Governance, partnership | Climate change and biodiversity","Urban areas are known to be among the main contributors to climate change worldwide. At the same time, they are especially at risk from the impacts of climate change. There is a growing recognition that climate change is here for the long term, and that actions is needed, not ju...","ReMED Platform for climate risk assessment of Mediterranean buildings and neighbourhoods and the development of optimal adapation mesures(EN)

ReMED cooperation(EN)

Pilot actions for the preparation of local resilience..."
keep.eu,https://keep.eu/projects/30102/,2026-06-01T04:42:57.066Z,30102,Euro-MED0200178,CO2 PACMAN,COoperation and CO-designing PArtnership for CliMAte Neutrality,2021 - 2027 Interreg VI-B EURO Mediterranean (EURO MED),2021-2027,ongoing,2024-01-01,2026-09-30,Università degli studi di Siena,Italy,10,Institutional cooperation and cooperation networks | Climate change and biodiversity | Knowledge and technology transfer,"Mediterranean islands will start their transition to climate neutrality thanks to the CO2 Pacman project.
Building on outcomes and tools from the previous projects Interreg Med BLUE DEAL and COMPOSE Plus and the FP7 CityZen, CO2 Pacman will provide knowledge and tools to drive t...","Toolkit for the development of climate neutrality scenarios(EN)

Toolkit for the development of climate neutrality scenarios(FR)

Multilevel cooperation map(FR)

Multilevel cooperation map(EN)

Climate Neutrality Transi..."
