source,source_url,retrieved_at,keep_numeric_id,project_id,project_acronym,project_name,programme,programming_period,status,start_date,end_date,lead_partner_name,lead_partner_country,partner_count,themes,project_summary_excerpt,outputs_excerpt
keep.eu,https://keep.eu/projects/31287/,2026-06-01T04:30:59.246Z,31287,EAPA_0109/2024,ATLAS,Atlantic Tracking with Lightwave Acoustic Sensing,2021 - 2027 Interreg VI-B Atlantic Area,2021-2027,ongoing,2025-10-01,2028-03-31,"CONSORCIO PARA EL DISENO, CONSTRUCCION, EQUIPAMIENTO Y EXPLOTACION DE LA PLATAFORMA OCEANICA DE CANARIAS (Innovation, Science and Technology)",Spain,10,"Managing natural and man-made threats, risk management | Governance, partnership | Waste and pollution","ATLAS pioneers the use of Distributed Acoustic Sensing (DAS) on submarine telecommunication cables to provide a revolutionary, cost-effective solution for ocean monitoring, biodiversity conservation and coastal risk prevention. The project addresses major transnational challenge...",
keep.eu,https://keep.eu/projects/31286/,2026-06-01T04:30:59.246Z,31286,EAPA_0108/2024,CANSTAR,Consolidating an Atlantic Network of Sustainable AstroTourism Destinations,2021 - 2027 Interreg VI-B Atlantic Area,2021-2027,ongoing,2025-09-01,2027-12-31,Agência de Desenvolvimento Regional do Alentejo (Departamento de Coesão e Sustentabilidade Territorial ),Portugal,6,Tourism | Rural and peripheral development | Community integration and common identity,"CANSTAR is an innovative, integrated and sustainable AstroTourism project aware of environmental preservation and local economic growth across multiple European regions. The main transnational challenge to tackle is the sustainable development of AstroTourism, addressing light p...",
keep.eu,https://keep.eu/projects/31285/,2026-06-01T04:30:59.246Z,31285,EAPA_0103/2024,CLIRAQUA,Climate Resilience and Adaptation in Aquaculture. Testing innovative technologies and ecosystem-based solutions for the resilience of Atlantic aquaculture to climate change.,2021 - 2027 Interreg VI-B Atlantic Area,2021-2027,ongoing,2025-07-01,2027-12-31,Universidade da Coruña (Centro Interdisciplinar de Química y Biología),Spain,13,Evaluation systems and results | Agriculture and fisheries and forestry | Knowledge and technology transfer,"The project strengthens the resilience of Atlantic aquaculture to climate change through ecosystem-based, technologically proven or in-development solutions (IMTA, FBNM, halophytes and others). It evaluates the vulnerability of aquaculture species and environments to changes in...",
keep.eu,https://keep.eu/projects/31284/,2026-06-01T04:30:59.246Z,31284,EAPA_0100/2024,ResilCrops,Harnessing Circular Economy to Improve Crop Resilience in the Atlantic Area,2021 - 2027 Interreg VI-B Atlantic Area,2021-2027,ongoing,2025-10-01,2028-04-02,Agencia Estatal Consejo Superior de Investigaciones Científicas (Instituto de Productos Naturales y Agrobiología),Spain,11,Water management | Agriculture and fisheries and forestry | Climate change and biodiversity,"Climate change is intensifying, threatening global food security with rising temperatures, emerging pests, and water scarcity. To tackle these challenges, it is essential to create strategies that assist in adapting agriculture and local crops to the changing climate conditions,...",
keep.eu,https://keep.eu/projects/31283/,2026-06-01T04:30:59.246Z,31283,EAPA_0099/2024,HiPoTeSis,High Power Test Sites to consolidate industrialisation of FOW in Europe,2021 - 2027 Interreg VI-B Atlantic Area,2021-2027,ongoing,2025-11-01,2028-04-30,Fondation OPEN-C (Fondation OPEN-C),France,9,Renewable energy | Infrastructure | Knowledge and technology transfer,"The development of floating offshore wind technologies is accelerating significantly but different technical, environmental, and industrial challenges remain to be addressed. With less than 0.25GW installed worldwide in 2024 and the commissioning of the first commercial projects...",
keep.eu,https://keep.eu/projects/31282/,2026-06-01T04:30:59.246Z,31282,EAPA_0093/2024,AWESDI,Atlantic Wave Energy Sustainable Deployment Initiative,2021 - 2027 Interreg VI-B Atlantic Area,2021-2027,ongoing,2026-01-01,2028-06-30,UNIVERSIDADE DE VIGO (University of Vigo Marine Research Center),Spain,12,"Governance, partnership | Renewable energy | Social inclusion and equal opportunities","AWESDI is a transnational initiative introducing an innovative approach to accelerate the deployment of wave energy systems in the Atlantic Area. Coastal regions in Portugal, Spain, France and Ireland share vast wave energy potential but face common WE deployment barriers, inclu...",
keep.eu,https://keep.eu/projects/31281/,2026-06-01T04:30:59.246Z,31281,EAPA_0089/2024,UPWELLING,"Unlocking Potential for Workforce Excellence, Leadership, and Innovation in the Next-Gen Blue Economy",2021 - 2027 Interreg VI-B Atlantic Area,2021-2027,ongoing,2025-09-01,2027-12-31,Asociación de Empresas Tecnológicas Innovalia (Research and development),Spain,15,ICT and digital society | Education and training | SME and entrepreneurship,"The UPWELLING project addresses critical challenges facing the Atlantic blue economy, including the skills gap, limited access to marine infrastructure, and weak collaboration among stakeholders. To bridge these gaps, UPWELLING establishes a transnational network and the UPWELLI...",
keep.eu,https://keep.eu/projects/31280/,2026-06-01T04:30:59.246Z,31280,EAPA_0084/2024,iSURFATLANTIC,iSURFATLANTIC - An Inclusive and Sustainable Surfing Route for the Atlantic Area,2021 - 2027 Interreg VI-B Atlantic Area,2021-2027,ongoing,2025-10-01,2028-03-31,Comunidade Intermunicipal do Oeste (Secretariado Executivo),Portugal,10,Sustainable management of natural resources | Tourism | Social inclusion and equal opportunities,"iSURFATLANTIC will create the first Sustainable and Inclusive Transnational Surf Tourism route across Portugal (Oeste), Spain (Cantabria), France (Gironde) and Ireland (Northwest). Addressing common challenges as environmental pressures, seasonal instability, and unequal accessi...",
keep.eu,https://keep.eu/projects/31279/,2026-06-01T04:30:59.246Z,31279,EAPA_0082/2024,DigiATLA,Building Digital Capacity for Innovation in Atlantic Aquaculture,2021 - 2027 Interreg VI-B Atlantic Area,2021-2027,ongoing,2026-01-01,2028-06-30,"S2AQUA - Laboratório Colaborativo, Associação para uma Aquacultura Sustentável e Inteligente (n.a.)",Portugal,7,ICT and digital society | Agriculture and fisheries and forestry | Knowledge and technology transfer,"DigiATLA drives digital transformation in Atlantic aquaculture by fostering capacity building in sustainable aquaculture and precision nutrition technologies. It tackles key challenges like limited digital integration, inefficiencies and environmental impacts, which hinder the s...",
keep.eu,https://keep.eu/projects/31278/,2026-06-01T04:30:59.246Z,31278,EAPA_0078/2024,Aofftech,Atlantic Offshore Tech,2021 - 2027 Interreg VI-B Atlantic Area,2021-2027,ongoing,2025-07-01,2027-12-31,Asociación de Industrias del Metal y Tecnologías Asociadas de Galicia (Departamento de Proyectos e Innovación ),Spain,13,Renewable energy | Climate change and biodiversity | Knowledge and technology transfer,"AoffTech's transnational challenge is to contribute to decarbonisation, mitigate climate change and the EU's energy independence through floating offshore wind energy, a strategic technology for the Atlantic Area. The overall objective is to boost the industry's value chain and...",
keep.eu,https://keep.eu/projects/31277/,2026-06-01T04:30:59.246Z,31277,EAPA_0074/2024,ACTIV-N,Action for Communities in Teleassistance and Integration of Vulnerable populations facing Natural hazards,2021 - 2027 Interreg VI-B Atlantic Area,2021-2027,ongoing,2025-12-01,2028-05-31,UNIVERSIDADE DE VIGO (UNIVERSIDADE DE VIGO),Spain,20,Health and social services | ICT and digital society | Social inclusion and equal opportunities,"Social inclusion, and environmental and climate risks are two concepts that are usually seen as separate. However, we must understand the need to establish clear links between the fight against climate change and the defence of the most vulnerable people. Without this innovative...",
keep.eu,https://keep.eu/projects/31276/,2026-06-01T04:30:59.246Z,31276,EAPA_0073/2024,AWAVES,"Atlantic Waves for Advancing Visionary, Equitable, and Sustainable Tourism and Heritage.",2021 - 2027 Interreg VI-B Atlantic Area,2021-2027,ongoing,2025-11-03,2028-05-03,DEPUTACIÓN PROVINCIAL DE PONTEVEDRA (Cooperación / Oficina de Proyectos Europeos),Spain,12,Cultural heritage and arts | Tourism | Community integration and common identity,"AWAVES is an innovative transnational project that transforms the Atlantic Area's maritime heritage into a driver of regenerative tourism and social inclusion. Facing intergenerational disconnection and declining interest in maritime culture, it promotes sustainable solutions th...",
keep.eu,https://keep.eu/projects/31275/,2026-06-01T04:30:59.246Z,31275,EAPA_0068/2024,SMART Coast,Sustainable Management of visitor flows for Resilient Tourism in Coastal Areas,2021 - 2027 Interreg VI-B Atlantic Area,2021-2027,ongoing,2025-07-01,2027-12-31,Groupement d'Intérêt Public Littoral en Nouvelle-Aquitaine (Aménagement Durable ),France,24,Coastal management and maritime issues | Cultural heritage and arts | Tourism,"The Atlantic Area coast, both highly attractive and sensitive, is home to a multitude of challenges regarding climate change, with tourism being a major sector requiring evolution to succeed in adaptation. Some coastal areas are currently experiencing levels of tourist numbers t...",
keep.eu,https://keep.eu/projects/31274/,2026-06-01T04:30:59.246Z,31274,EAPA_0067/2024,ATLANTIC BRIDGES,Building a Reliable Common Identity towards a Global Urban Sustainable Development in the Atlantic,2021 - 2027 Interreg VI-B Atlantic Area,2021-2027,ongoing,2025-10-01,2028-03-31,Eixo Atlántico (International Affairs and EU Projects),Spain,6,Urban development | Institutional cooperation and cooperation networks | Social inclusion and equal opportunities,"The ATLANTIC BRIDGES project, launched by a consortium representing the Atlantic medium-sized cities quadruple helix, promotes sustainable urban development by integrating the sea into urban planning. Focusing on the triple transition (ecological, economic, and social), the init...",
keep.eu,https://keep.eu/projects/31273/,2026-06-01T04:30:59.246Z,31273,EAPA_0066/2024,GRAAL,Governance and Regional Atlantic Area Lighthouse,2021 - 2027 Interreg VI-B Atlantic Area,2021-2027,ongoing,2025-04-01,2029-06-30,"Centre for Studies and Expertise on Risks, the Environment, Mobility and Urban Planning (Direction technique risques-eau-mer)",France,30,"Governance, partnership | Tourism | Waste and pollution","The primary aim of the GRAAL is to increase the Interreg Atlantic Area programme's impact on its key goals, such as environmental protection, prosperity, and preparedness for climate change. It focuses on improving the valorisation of the results of projects supported by the Int...",
keep.eu,https://keep.eu/projects/31272/,2026-06-01T04:30:59.246Z,31272,EAPA_0038/2022,SMARTDEC,Smart Clusters for Maritime Decarbonisation,2021 - 2027 Interreg VI-B Atlantic Area,2021-2027,ongoing,2023-12-31,2026-12-31,Pôle Mer Bretagne Atlantique (European Affairs),France,19,ICT and digital society | SME and entrepreneurship | Knowledge and technology transfer,"SMARTDEC aims to create an interactive platform for exchange between all stakeholders in the maritime transport sector, including solution developers (start-ups, SMEs, entrepreneurs), researchers, academics and end-users, as part of the decarbonization of transport and port acti...",
keep.eu,https://keep.eu/projects/31271/,2026-06-01T04:30:59.246Z,31271,EAPA_0040/2022,SISdATA,System to increase security sustainability in the domain of Atlantic traditional aquaculture (natural tanks and cage nets),2021 - 2027 Interreg VI-B Atlantic Area,2021-2027,ongoing,2024-01-01,2026-12-31,Universidade de Coimbra (Serviço de Promoção e Gestão da Investigação),Portugal,5,Tourism | Waste and pollution | Agriculture and fisheries and forestry,"SISdATA is working on a new information system to support aquaculture in the Atlantic regions, using information from sources like satellites, local water quality sensors, computational fluid dynamics simulations, biochemical models, and data-driven approaches. This will help co...",
keep.eu,https://keep.eu/projects/31270/,2026-06-01T04:30:59.246Z,31270,EAPA_0029/2022,SEALabHaus,"Atlantic New Bauhaus Laboratory for Sustainable, Inclusive and Beautiful Blue Tourism, Heritage and Culture of the Sea",2021 - 2027 Interreg VI-B Atlantic Area,2021-2027,ongoing,2023-12-31,2026-12-31,Universidade da Coruña (Grupo de Investigación en Historia de la Arquitectura),Spain,31,Coastal management and maritime issues | Cultural heritage and arts | Tourism,"SEALabHaus 's main goal is to revolutionize the tourism and blue culture value chain. By transforming, revitalizing, and enhancing the coastal tourism ecosystem, the project seeks to achieve balance with the sea.
It is introducing an innovative and integrated approach, inspired...",
keep.eu,https://keep.eu/projects/31269/,2026-06-01T04:30:59.246Z,31269,EAPA_0019/2022,SAtComm,Sustainable Atlantic Communities,2021 - 2027 Interreg VI-B Atlantic Area,2021-2027,ongoing,2023-12-01,2026-11-30,South East Technological University (Walton Institute),Ireland,18,ICT and digital society | Renewable energy | SME and entrepreneurship,"SAtComm aims to enable citizens from residential, SME, and industrial entities to mobilise as groups into Energy Communities and equip them with the digitalisation and legal tools to empower them to play a central role in the Clean Energy Transition. The project has 5 pilots loc...",
keep.eu,https://keep.eu/projects/31268/,2026-06-01T04:30:59.246Z,31268,EAPA_0050/2022,SaferSEA,Safer Smarter and Eco-friendlier Atlantic Area,2021 - 2027 Interreg VI-B Atlantic Area,2021-2027,ongoing,2023-10-01,2026-09-30,Technopôle Brest-Iroise (Pôle Entrepreneuriat),France,18,Innovation capacity and awareness-raising | Coastal management and maritime issues | Safety,"The objective of SaferSea is to contribute to the development of a safer, eco-friendly maritime sector and to provide maritime stakeholders with off-the-shelf solutions to support their green transition. The partnership has already started with the identification and development...",
keep.eu,https://keep.eu/projects/31267/,2026-06-01T04:30:59.246Z,31267,EAPA_0005/2022,REINFFORCE2,"REsource INFrastructures for monitoring, adapting and protecting European Atlantic FORests under changing ClimatE 2",2021 - 2027 Interreg VI-B Atlantic Area,2021-2027,ongoing,2023-12-15,2027-04-30,Institut Européen de la Forêt Cultivée (Siège),France,25,ICT and digital society | Climate change and biodiversity | Knowledge and technology transfer,"REINFFORCE2 is working on solutions by looking at different climate conditions across the Atlantic regions. Partners want to predict how climate change might affect coastal forests by simulating a significant warming of 6°C. To do this, they'll use data from field trials that we...",
keep.eu,https://keep.eu/projects/31266/,2026-06-01T04:30:59.246Z,31266,EAPA_0003/2022,POST,Polycentric Sustainable Tourism: Identification of a strategy towards the sustainability of the sector,2021 - 2027 Interreg VI-B Atlantic Area,2021-2027,ongoing,2023-10-15,2026-10-14,Eixo Atlántico (International Affairs and EU Projects),Spain,13,Evaluation systems and results | Sustainable management of natural resources | Tourism,"POST is developing and testing the ""Polycentric Tourism"" concept, focusing on redistributing tourist flows in inland territories. The goal is to create a strategy for sustainable tourism, promoting tourism in the Atlantic Area's hinterland while alleviating pressure on highly af...",
keep.eu,https://keep.eu/projects/31265/,2026-06-01T04:30:59.246Z,31265,EAPA_0018/2022,PLAST4H2,"Plastic circularity through an efficient detection, collection, and valorization into Hydrogen and value-added products",2021 - 2027 Interreg VI-B Atlantic Area,2021-2027,ongoing,2023-11-01,2026-10-31,UNIVERSIDAD DE CANTABRIA (Grupo Procesos Avanzados de Separación),Spain,23,Innovation capacity and awareness-raising | Coastal management and maritime issues | Waste and pollution,"PLAST4H2 is on a mission to tackle plastic pollution in the Atlantic Area by focusing on circularity and sustainability. Partners want to turn plastic waste into valuable products, such as hydrogen, and encourage people to make eco-friendly lifestyle choices.
In the first part,...",
keep.eu,https://keep.eu/projects/31264/,2026-06-01T04:30:59.246Z,31264,EAPA_0017/2022,MARINNONET,Transnational R&D&I cooperation network to foster the competitiveness and sustainability of the Blue Biotech sector in the Atlantic Area territory,2021 - 2027 Interreg VI-B Atlantic Area,2021-2027,ongoing,2023-12-01,2026-11-30,UNIVERSIDADE DE VIGO (University of Vigo Marine Research Center),Spain,27,Agriculture and fisheries and forestry | Climate change and biodiversity | Knowledge and technology transfer,"Considering the characteristics of the Blue Biotech sector of the 8 AA regions involved, and their respective R&D&I strengths, our network MARINNONET focuses on 3 Marine Biotechnology Platforms:
BP1 – Innovations for an efficient, sustainable, and resilient aquaculture: Advancin...",
keep.eu,https://keep.eu/projects/31263/,2026-06-01T04:30:59.246Z,31263,EAPA_0057/2022,HYDEA,Boosting the hydrogen transition in the Atlantic Area ports,2021 - 2027 Interreg VI-B Atlantic Area,2021-2027,ongoing,2023-10-01,2026-09-30,FUNDACIÓN CENTRO TECNOLÓXICO DE EFICIENCIA E SOSTENIBILIDAD DE EFICIENCIA ENERGÉTICA (Oficina de Gestión de Proyectos),Spain,43,ICT and digital society | SME and entrepreneurship,"HYDEA is committed to pilot projects for the integration of clean energies in the ports of Brest (France), Leixões (Portugal), Vigo and Seville (Spain), namely by boosting the use of hydrogen in maritime operations.
During the project, the partnership is trying out new technolog...",
keep.eu,https://keep.eu/projects/31262/,2026-06-01T04:30:59.246Z,31262,EAPA_0001/2022,HY4RES,Hybrid solutions for Renewable Energy Systems: achieving net-zero Atlantic area energy consumers & communities,2021 - 2027 Interreg VI-B Atlantic Area,2021-2027,ongoing,2023-12-01,2026-11-30,Trinity College Dublin (School of Engineering),Ireland,22,ICT and digital society | Renewable energy | Community integration and common identity,"HY4RES is working on creating new technology that uses renewable energy sources, like wind and solar power, along with smart data systems to help communities in the Atlantic Area become more energy-efficient. The main challenge they are tackling is how to use more renewable ener...",
keep.eu,https://keep.eu/projects/31261/,2026-06-01T04:30:59.246Z,31261,EAPA_0024/2022,Hub4Food,Atlantic Food Innovation Hub,2021 - 2027 Interreg VI-B Atlantic Area,2021-2027,ongoing,2024-01-01,2026-12-31,ASOCIACION CLUSTER ALIMENTARIO DE GALICIA (UNITEC),Spain,21,"Governance, partnership | Agriculture and fisheries and forestry | Knowledge and technology transfer","Hub4Food is creating a network where agriculture and food groups, along with research organizations, can work together more closely. The goal is to improve connections and abilities of the food industry, especially when it comes to making new and better food products, with a foc...",
keep.eu,https://keep.eu/projects/31260/,2026-06-01T04:30:59.246Z,31260,EAPA_0009/2022,Free-LitterAT,Advancing towards litter-free Atlantic coastal communities by preventing and reducing macro and micro litter,2021 - 2027 Interreg VI-B Atlantic Area,2021-2027,ongoing,2023-11-01,2026-10-31,Centro Tecnológico del Mar - Fundación CETMAR,Spain,31,Waste and pollution | Knowledge and technology transfer,"Free-LitterAT is on a mission to make coastal communities free from litter by using their knowledge, tools, and technology, and getting everyone involved. They're focusing on a big problem called marine litter. To tackle this issue, they're taking a comprehensive approach that i...",
keep.eu,https://keep.eu/projects/31259/,2026-06-01T04:30:59.246Z,31259,EAPA_0021/2022,FISHINN,INNOVATION ROADMAP FOR LOCAL FISHERIES ECOSYSTEMS RECOVERY,2021 - 2027 Interreg VI-B Atlantic Area,2021-2027,ongoing,2023-11-01,2026-10-31,LEARTIBAI FUNDAZIOA (COMPETITIVIDAD INDUSTRIAL Y COORDINACIÓN DE PROYECTOS EUROPEOS),Spain,23,Innovation capacity and awareness-raising | Knowledge and technology transfer | Community integration and common identity,"FISHINN wants to make local fisheries more competitive and stronger. They plan to do this by bringing local people and groups together sharing knowledge and using new technology. The aim is to create smart, circular, and more efficient solutions to turn things around for the fis...",
keep.eu,https://keep.eu/projects/31258/,2026-06-01T04:30:59.246Z,31258,EAPA_0016/2022,ENEPORTS,Decarbonization and Digitalization of Atlantic ports,2021 - 2027 Interreg VI-B Atlantic Area,2021-2027,ongoing,2023-11-06,2026-11-05,FUNDACION INSTITUTO TECNOLÓGICO DE GALICIA (INNOVACIÓN ABIERTA),Spain,14,ICT and digital society | Energy efficiency,"ENPORTS is a project where different partners from various places have noticed that these ports face similar challenges and can use similar solutions and tools to become more sustainable. The project plans to try out three examples, or pilots, to see how digital technology and a...",
keep.eu,https://keep.eu/projects/33271/,2026-06-01T04:30:59.246Z,33271,00032,HERACLES~A_T_1.1_0235,"Healthcare Enterprises and Research Alliance for Collaboration, Learning, and Exploitation of AI-driven business Solutions",2021 - 2027 Interreg VI-B NEXT Mediterranean Sea Basin (NEXT MED),2021-2027,ongoing,2025-10-31,2028-10-30,Università degli Studi di Bari Aldo Moro,Italy,7,Health and social services | ICT and digital society | SME and entrepreneurship,"PROJECT TYPE: 1 - Thematic projects
~
MAIN INTERVENTION FIELD:

028. Technology transfer and cooperation between enterprises, research centres and higher education sector
~
SUMMARY: The HERACLES Project aims to establish and strengthen a multi-actor research network between comp...","(1.1) 1.1 - Technical Manual on reporting and financial procedures(EN)

(1.2) 1.2 - Progress reports(EN)

(1.3) 1.3 - Project meetings(EN)

(1.4) 1.4 - Monitoring and Quality Plan(EN)

(2.1) Communication Plan and Strat..."
keep.eu,https://keep.eu/projects/33270/,2026-06-01T04:30:59.246Z,33270,00036,MedRESOURCE~A_T_2.3_0368,Mediterranean initiative to REgenerate wastewater Sludges for Optimal Use towaRd a Circular Economy,2021 - 2027 Interreg VI-B NEXT Mediterranean Sea Basin (NEXT MED),2021-2027,ongoing,2025-10-23,2028-10-22,مهندسي الصرف الصحي الفلسطينية - Palestinian Wastewater Engineers Group (PWEG),Palestine,6,Water management | Sustainable management of natural resources | Waste and pollution,"PROJECT TYPE: 1 - Thematic projects
~
MAIN INTERVENTION FIELD:

066. Waste water collection and treatment compliant with energy efficiency criteria
~
SUMMARY: MedRESOURCE tackles the pressing transnational challenges of water scarcity, land degradation, and waste management in t...","(1.1) Technical Manual on reporting and financial procedures(EN)

(1.2) Project Final Report(EN)

(1.3) Interim Evaluation Report(EN)

(1.4) Final Evaluation Report(EN)

(2.1) Communication Plan(EN)

(2.2) Communication..."
keep.eu,https://keep.eu/projects/33269/,2026-06-01T04:30:59.246Z,33269,00055,MEDSHIFTGREEN~A_Y_3.1_...,"Cultivating Green Innovators: A Dynamic Approach to Smart, Sustainable, and Socially Inclusive Education for Mediterranean Youth",2021 - 2027 Interreg VI-B NEXT Mediterranean Sea Basin (NEXT MED),2021-2027,ongoing,2025-10-08,2028-10-07,Πανεπιστήμιο Μακεδονίας,Greece,4,Social inclusion and equal opportunities,"PROJECT TYPE: 2 - Youth-oriented projects
~
MAIN INTERVENTION FIELD:

151. Support for adult education (excluding infrastructure)
~
SUMMARY: MEDSHIFTGREEN directly addresses the pressing transnational challenges of environmental degradation and resource depletion in the Mediterr...","(1.1) Stakeholder Engagement Strategy(EN)

(1.2) Kick-off Meeting and Workshop(EN)

(1.3) Monitoring, Evaluation, and Reporting Framework based on green basic elements(EN)

(1.4) Project Management Manual(EN)

(1.5) Cap..."
